VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,-0.36977,-0.03879,0.06504,-0.98024,0.0599,0.18476,0.15105,-0.3639,0.9183,-1,1,0.50196,1,1,0.08034,0.64338,0.50494,0.49761,0.99997
1,1,-0.35725,-0.01624,0.0815,-0.6839,0.65033,0.29406,0.15836,-0.28504,0.9345,-1,1,0.50196,1,1,0.09119,0.6009,0.50648,0.53834,0.99849
2,2,-0.36191,-0.01649,0.06493,-0.7981,0.55459,0.2343,0.02584,-0.3584,0.93241,-1,1,0.50196,1,0,0.06818,0.60817,0.50554,0.49882,0.99997
3,1,-0.35725,-0.01624,0.0815,-0.6839,0.65033,0.29406,0.15836,-0.28504,0.9345,-1,1,0.50196,1,1,0.09119,0.6009,0.50648,0.53834,0.99849
4,0,-0.36977,-0.03879,0.06504,-0.98024,0.0599,0.18476,0.15105,-0.3639,0.9183,-1,1,0.50196,1,1,0.08034,0.64338,0.50494,0.49761,0.99997
5,3,-0.36647,-0.03554,0.08444,-0.91199,0.11088,0.3456,0.31917,-0.26185,0.90079,-1,1,0.50196,1,1,0.10272,0.63384,0.52802,0.55638,0.99602
6,4,-0.35901,-0.03302,0.09814,-0.73483,0.13469,0.62426,0.58052,-0.30825,0.74182,-1,1,0.50196,1,1,0.12267,0.62712,0.5097,0.4908,0.99982
7,1,-0.35725,-0.01624,0.0815,-0.6839,0.65033,0.29406,0.15836,-0.28504,0.9345,-1,1,0.50196,1,1,0.09119,0.6009,0.50648,0.53834,0.99849
8,3,-0.36647,-0.03554,0.08444,-0.91199,0.11088,0.3456,0.31917,-0.26185,0.90079,-1,1,0.50196,1,1,0.10272,0.63384,0.52802,0.55638,0.99602
9,1,-0.35725,-0.01624,0.0815,-0.6839,0.65033,0.29406,0.15836,-0.28504,0.9345,-1,1,0.50196,1,1,0.09119,0.6009,0.50648,0.53834,0.99849
10,4,-0.35901,-0.03302,0.09814,-0.73483,0.13469,0.62426,0.58052,-0.30825,0.74182,-1,1,0.50196,1,1,0.12267,0.62712,0.5097,0.4908,0.99982
11,5,-0.34907,-0.01582,0.09438,-0.49717,0.68457,0.49407,0.33397,-0.40054,0.84364,-1,1,0.50196,1,1,0.11128,0.59287,0.50688,0.48956,0.99984
12,6,-0.33971,-0.00453,0.07798,-0.39532,0.84384,0.33742,0.10385,-0.34096,0.92559,-1,1,0.50196,1,1,0.08125,0.56604,0.49466,0.51851,0.99963
13,2,-0.36191,-0.01649,0.06493,-0.7981,0.55459,0.2343,0.02584,-0.3584,0.93241,-1,1,0.50196,1,0,0.06818,0.60817,0.50554,0.49882,0.99997
14,1,-0.35725,-0.01624,0.0815,-0.6839,0.65033,0.29406,0.15836,-0.28504,0.9345,-1,1,0.50196,1,1,0.09119,0.6009,0.50648,0.53834,0.99849
15,5,-0.34907,-0.01582,0.09438,-0.49717,0.68457,0.49407,0.33397,-0.40054,0.84364,-1,1,0.50196,1,1,0.11128,0.59287,0.50688,0.48956,0.99984
16,6,-0.33971,-0.00453,0.07798,-0.39532,0.84384,0.33742,0.10385,-0.34096,0.92559,-1,1,0.50196,1,1,0.08125,0.56604,0.49466,0.51851,0.99963
17,1,-0.35725,-0.01624,0.0815,-0.6839,0.65033,0.29406,0.15836,-0.28504,0.9345,-1,1,0.50196,1,1,0.09119,0.6009,0.50648,0.53834,0.99849
18,2,-0.36191,-0.01649,0.06493,-0.7981,0.55459,0.2343,0.02584,-0.3584,0.93241,-1,1,0.50196,1,0,0.06818,0.60817,0.50554,0.49882,0.99997
19,6,-0.33971,-0.00453,0.07798,-0.39532,0.84384,0.33742,0.10385,-0.34096,0.92559,-1,1,0.50196,1,1,0.08125,0.56604,0.49466,0.51851,0.99963
20,7,-0.34443,-0.00154,0.06648,-0.58084,0.71302,0.39236,0.02624,-0.46595,0.88374,-1,1,0.50196,1,1,0.06159,0.57153,0.51796,0.49086,0.99959
21,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
22,7,-0.34443,-0.00154,0.06648,-0.58084,0.71302,0.39236,0.02624,-0.46595,0.88374,-1,1,0.50196,1,1,0.06159,0.57153,0.51796,0.49086,0.99959
23,6,-0.33971,-0.00453,0.07798,-0.39532,0.84384,0.33742,0.10385,-0.34096,0.92559,-1,1,0.50196,1,1,0.08125,0.56604,0.49466,0.51851,0.99963
24,7,-0.34443,-0.00154,0.06648,-0.58084,0.71302,0.39236,0.02624,-0.46595,0.88374,-1,1,0.50196,1,1,0.06159,0.57153,0.51796,0.49086,0.99959
25,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
26,9,-0.32492,0.01131,0.06961,-0.42671,0.54499,0.72141,0.12164,-0.75619,0.64256,-1,1,0.50196,1,1,0.0557,0.53298,0.512,0.48909,0.99974
27,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
28,10,-0.29945,0.00861,0.07714,-0.14353,0.12964,0.98112,0.22381,-0.96144,0.15978,-1,1,0.50196,1,0,0.0692,0.4914,0.48684,0.51159,0.99969
29,9,-0.32492,0.01131,0.06961,-0.42671,0.54499,0.72141,0.12164,-0.75619,0.64256,-1,1,0.50196,1,1,0.0557,0.53298,0.512,0.48909,0.99974
30,10,-0.29945,0.00861,0.07714,-0.14353,0.12964,0.98112,0.22381,-0.96144,0.15978,-1,1,0.50196,1,0,0.0692,0.4914,0.48684,0.51159,0.99969
31,8,-0.32098,0.00269,0.07598,-0.11164,0.77167,0.60504,0.1835,-0.59705,0.77667,-1,1,0.50196,1,1,0.07469,0.53135,0.51225,0.48752,0.99969
32,11,-0.29454,-0.00156,0.07633,0.13427,0.204,0.95863,0.17918,-0.96436,0.18695,-1,1,0.50196,1,0,0.08409,0.48722,0.49562,0.49795,0.99998
