VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,-0.22023,0.09327,0.03095,-0.15232,0.95232,-0.26437,0.95547,0.07349,-0.28578,1,1,0.50196,1,1,0.03105,0.46138,0.02138,0.04191,0.49821,0.49987,1
1,1,-0.21267,0.08923,0.01196,-0.14988,0.95475,-0.25687,0.95543,0.07302,-0.28606,1,1,0.50196,1,1,0.04584,0.4815,0.022,0.04275,0.49976,0.50105,1
2,2,-0.22796,0.0901,0.02353,-0.13766,0.95792,-0.25187,0.95666,0.06271,-0.28437,1,1,0.50196,1,1,0.02444,0.47306,0.0211,0.04239,0.50058,0.49862,1
3,1,-0.21267,0.08923,0.01196,-0.14988,0.95475,-0.25687,0.95543,0.07302,-0.28606,1,1,0.50196,1,1,0.04584,0.4815,0.022,0.04275,0.49976,0.50105,1
4,0,-0.22023,0.09327,0.03095,-0.15232,0.95232,-0.26437,0.95547,0.07349,-0.28578,1,1,0.50196,1,1,0.03105,0.46138,0.02138,0.04191,0.49821,0.49987,1
5,3,-0.20717,0.09233,0.01908,-0.16511,0.95221,-0.25699,0.95333,0.08729,-0.28904,1,1,0.50196,1,1,0.04999,0.47088,0.02217,0.0423,0.50074,0.49853,1
6,0,-0.22023,0.09327,0.03095,-0.15232,0.95232,-0.26437,0.95547,0.07349,-0.28578,1,1,0.50196,1,1,0.03105,0.46138,0.02138,0.04191,0.49821,0.49987,1
7,4,-0.20305,0.09504,0.02754,-0.11951,0.96494,-0.23366,0.95884,0.05112,-0.2793,1,1,0.50196,1,1,0.05207,0.45932,0.02226,0.04182,0.49913,0.50419,0.99998
8,3,-0.20717,0.09233,0.01908,-0.16511,0.95221,-0.25699,0.95333,0.08729,-0.28904,1,1,0.50196,1,1,0.04999,0.47088,0.02217,0.0423,0.50074,0.49853,1
9,4,-0.20305,0.09504,0.02754,-0.11951,0.96494,-0.23366,0.95884,0.05112,-0.2793,1,1,0.50196,1,1,0.05207,0.45932,0.02226,0.04182,0.49913,0.50419,0.99998
10,0,-0.22023,0.09327,0.03095,-0.15232,0.95232,-0.26437,0.95547,0.07349,-0.28578,1,1,0.50196,1,1,0.03105,0.46138,0.02138,0.04191,0.49821,0.49987,1
11,5,-0.21278,0.09635,0.03721,-0.11697,0.96045,-0.2527,0.95977,0.04391,-0.27734,1,1,0.50196,1,1,0.03772,0.45111,0.02166,0.04148,0.50717,0.49005,0.99985
12,5,-0.21278,0.09635,0.03721,-0.11697,0.96045,-0.2527,0.95977,0.04391,-0.27734,1,1,0.50196,1,1,0.03772,0.45111,0.02166,0.04148,0.50717,0.49005,0.99985
13,6,-0.19991,0.09709,0.03636,-0.04498,0.97854,-0.20107,0.96442,-0.00996,-0.2642,1,1,0.50196,1,1,0.05289,0.44787,0.02229,0.04134,0.50155,0.49951,1
14,4,-0.20305,0.09504,0.02754,-0.11951,0.96494,-0.23366,0.95884,0.05112,-0.2793,1,1,0.50196,1,1,0.05207,0.45932,0.02226,0.04182,0.49913,0.50419,0.99998
15,6,-0.19991,0.09709,0.03636,-0.04498,0.97854,-0.20107,0.96442,-0.00996,-0.2642,1,1,0.50196,1,1,0.05289,0.44787,0.02229,0.04134,0.50155,0.49951,1
16,5,-0.21278,0.09635,0.03721,-0.11697,0.96045,-0.2527,0.95977,0.04391,-0.27734,1,1,0.50196,1,1,0.03772,0.45111,0.02166,0.04148,0.50717,0.49005,0.99985
17,7,-0.20378,0.09812,0.04196,-0.03273,0.97851,-0.2036,0.96494,-0.02214,-0.26155,1,1,0.50196,1,1,0.04662,0.44248,0.02203,0.04112,0.50187,0.49782,0.99999
18,6,-0.19991,0.09709,0.03636,-0.04498,0.97854,-0.20107,0.96442,-0.00996,-0.2642,1,1,0.50196,1,1,0.05289,0.44787,0.02229,0.04134,0.50155,0.49951,1
19,7,-0.20378,0.09812,0.04196,-0.03273,0.97851,-0.2036,0.96494,-0.02214,-0.26155,1,1,0.50196,1,1,0.04662,0.44248,0.02203,0.04112,0.50187,0.49782,0.99999
20,8,-0.19718,0.09845,0.04439,0.01473,0.98499,-0.17196,0.9655,-0.05873,-0.25369,1,1,0.50196,1,1,0.0535,0.43758,0.02232,0.04091,0.5,0.5,1
21,9,-0.2202,0.08675,0.0062,-0.1256,0.96454,-0.23212,0.95748,0.05661,-0.28288,1,1,0.50196,1,1,0.03898,0.49104,0.02171,0.04315,0.49981,0.5001,1
22,2,-0.22796,0.0901,0.02353,-0.13766,0.95792,-0.25187,0.95666,0.06271,-0.28437,1,1,0.50196,1,1,0.02444,0.47306,0.0211,0.04239,0.50058,0.49862,1
23,1,-0.21267,0.08923,0.01196,-0.14988,0.95475,-0.25687,0.95543,0.07302,-0.28606,1,1,0.50196,1,1,0.04584,0.4815,0.022,0.04275,0.49976,0.50105,1
24,2,-0.22796,0.0901,0.02353,-0.13766,0.95792,-0.25187,0.95666,0.06271,-0.28437,1,1,0.50196,1,1,0.02444,0.47306,0.0211,0.04239,0.50058,0.49862,1
25,9,-0.2202,0.08675,0.0062,-0.1256,0.96454,-0.23212,0.95748,0.05661,-0.28288,1,1,0.50196,1,1,0.03898,0.49104,0.02171,0.04315,0.49981,0.5001,1
26,10,-0.23552,0.0868,0.01477,-0.13813,0.96249,-0.23353,0.95547,0.06742,-0.28727,1,1,0.50196,1,1,0.0185,0.48624,0.02085,0.04294,0.50113,0.49666,0.99999
27,11,-0.22805,0.08504,0.00246,-0.11577,0.97699,-0.17911,0.95602,0.06068,-0.28697,1,1,0.50196,1,1,0.03114,0.49819,0.02138,0.04344,0.49755,0.47869,0.99954
28,10,-0.23552,0.0868,0.01477,-0.13813,0.96249,-0.23353,0.95547,0.06742,-0.28727,1,1,0.50196,1,1,0.0185,0.48624,0.02085,0.04294,0.50113,0.49666,0.99999
29,9,-0.2202,0.08675,0.0062,-0.1256,0.96454,-0.23212,0.95748,0.05661,-0.28288,1,1,0.50196,1,1,0.03898,0.49104,0.02171,0.04315,0.49981,0.5001,1
