VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,-0.05138,0.00826,0.05057,-0.20987,-0.816,-0.53861,0.50196,0.50196,0,0,0.97573,0.26186,0.38733,0.43642,-0.8121,-1,0.5,0.5,1
1,1,-0.06927,0.00714,0.06331,-0.99298,-0.11585,-0.02399,0.50196,0.50196,0,0,0.96616,0.26794,0.00554,0.15705,-0.98757,-1,0.5,0.5,1
2,2,-0.06671,0.01058,0.05522,-0.88323,0.09657,-0.45888,0.50196,0.50196,0,0,0.97223,0.26879,0.46809,0.24037,-0.85036,-1,0.5,0.50001,1
3,3,-0.06693,0.00116,0.06868,-0.74915,-0.55354,0.36382,0.50196,0.50196,0,0,0.9613,0.26446,-0.25448,-0.26658,-0.92961,-1,0.5,0.5,1
4,1,-0.06927,0.00714,0.06331,-0.99298,-0.11585,-0.02399,0.50196,0.50196,0,0,0.96616,0.26794,0.00554,0.15705,-0.98757,-1,0.5,0.5,1
5,0,-0.05138,0.00826,0.05057,-0.20987,-0.816,-0.53861,0.50196,0.50196,0,0,0.97573,0.26186,0.38733,0.43642,-0.8121,-1,0.5,0.5,1
6,4,-0.05987,-0.00359,0.07081,-0.3468,-0.88367,0.31441,0.50196,0.50196,0,0,0.96106,0.2592,0.28664,-0.41902,-0.86154,-1,0.5,0.5,1
7,3,-0.06693,0.00116,0.06868,-0.74915,-0.55354,0.36382,0.50196,0.50196,0,0,0.9613,0.26446,-0.25448,-0.26658,-0.92961,-1,0.5,0.5,1
8,0,-0.05138,0.00826,0.05057,-0.20987,-0.816,-0.53861,0.50196,0.50196,0,0,0.97573,0.26186,0.38733,0.43642,-0.8121,-1,0.5,0.5,1
9,5,-0.05261,-0.00428,0.07053,0.18184,-0.81259,0.55374,0.50196,0.50196,0,0,0.96266,0.25576,0.53671,-0.38983,-0.74832,-1,0.5,0.5,1
10,4,-0.05987,-0.00359,0.07081,-0.3468,-0.88367,0.31441,0.50196,0.50196,0,0,0.96106,0.2592,0.28664,-0.41902,-0.86154,-1,0.5,0.5,1
11,0,-0.05138,0.00826,0.05057,-0.20987,-0.816,-0.53861,0.50196,0.50196,0,0,0.97573,0.26186,0.38733,0.43642,-0.8121,-1,0.5,0.5,1
12,6,-0.04581,-0.00187,0.06638,0.46088,-0.86122,0.21421,0.50196,0.50196,0,0,0.96703,0.25222,0.5372,0.0786,-0.83979,-1,0.5,0.5,1
13,5,-0.05261,-0.00428,0.07053,0.18184,-0.81259,0.55374,0.50196,0.50196,0,0,0.96266,0.25576,0.53671,-0.38983,-0.74832,-1,0.5,0.5,1
14,0,-0.05138,0.00826,0.05057,-0.20987,-0.816,-0.53861,0.50196,0.50196,0,0,0.97573,0.26186,0.38733,0.43642,-0.8121,-1,0.5,0.5,1
15,0,-0.05138,0.00826,0.05057,-0.20987,-0.816,-0.53861,0.50196,0.50196,0,0,0.97573,0.26186,0.38733,0.43642,-0.8121,-1,0.5,0.5,1
16,7,-0.03865,0.01046,0.04328,0.03191,-0.88035,-0.47326,0.50196,0.50196,0,0,0.97912,0.25334,0.50354,0.42318,-0.75324,-1,0.5,0.5,1
17,6,-0.04581,-0.00187,0.06638,0.46088,-0.86122,0.21421,0.50196,0.50196,0,0,0.96703,0.25222,0.5372,0.0786,-0.83979,-1,0.5,0.5,1
18,8,-0.05897,-0.00032,0.07188,-0.05243,0.10397,0.9932,0.50196,0.50196,0,0,0.95948,0.25899,-0.19477,-0.97653,0.09194,-1,0.5,0.5,1
19,4,-0.05987,-0.00359,0.07081,-0.3468,-0.88367,0.31441,0.50196,0.50196,0,0,0.96106,0.2592,0.28664,-0.41902,-0.86154,-1,0.5,0.5,1
20,5,-0.05261,-0.00428,0.07053,0.18184,-0.81259,0.55374,0.50196,0.50196,0,0,0.96266,0.25576,0.53671,-0.38983,-0.74832,-1,0.5,0.5,1
