VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,0.01641,-0.11145,-0.00285,0.56951,-0.82193,-0.00918,1,0.50196,1,1,0.7023,0.6268,0.96579,-0.1986,0.16679,1,0.29595,0.59244,0.94701
1,1,0.02406,-0.11075,-0.00131,0.62479,-0.78079,0.00204,1,0.50196,1,1,0.7139,0.62574,0.94481,0.0204,0.32698,1,0.76916,0.10335,0.6422
2,2,0.02311,-0.11348,0.00086,0.60575,-0.79549,0.01634,1,0.50196,1,1,0.71375,0.63123,0.89324,-0.25405,0.37093,1,0.35364,0.74088,0.91299
3,1,0.02406,-0.11075,-0.00131,0.62479,-0.78079,0.00204,1,0.50196,1,1,0.7139,0.62574,0.94481,0.0204,0.32698,1,0.76916,0.10335,0.6422
4,0,0.01641,-0.11145,-0.00285,0.56951,-0.82193,-0.00918,1,0.50196,1,1,0.7023,0.6268,0.96579,-0.1986,0.16679,1,0.29595,0.59244,0.94701
5,3,0.01728,-0.10759,-0.00658,0.59445,-0.80341,-0.03408,1,0.50196,1,1,0.70254,0.61856,0.98461,-0.0048,0.17469,1,0.83047,0.15086,0.63743
6,3,0.01728,-0.10759,-0.00658,0.59445,-0.80341,-0.03408,1,0.50196,1,1,0.70254,0.61856,0.98461,-0.0048,0.17469,1,0.83047,0.15086,0.63743
7,0,0.01641,-0.11145,-0.00285,0.56951,-0.82193,-0.00918,1,0.50196,1,1,0.7023,0.6268,0.96579,-0.1986,0.16679,1,0.29595,0.59244,0.94701
8,4,0.01479,-0.10698,-0.00744,0.57943,-0.81399,-0.04095,1,0.50196,1,1,0.69902,0.61739,0.98862,0.06263,0.13676,1,0.82522,0.45933,0.8776
9,1,0.02406,-0.11075,-0.00131,0.62479,-0.78079,0.00204,1,0.50196,1,1,0.7139,0.62574,0.94481,0.0204,0.32698,1,0.76916,0.10335,0.6422
10,5,0.02787,-0.11752,0.00802,0.61355,-0.78742,0.05947,1,0.50196,1,1,0.72578,0.63944,0.72837,-0.58545,0.35598,1,0.87349,0.54007,0.83
