VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,0.18227,-0.01593,0.1561,0.17061,0.9424,0.26861,0.9407,-0.08221,-0.31367,-1,0.06259,0.38029,0.54091,0.4642,0.99704
1,1,0.17569,-0.00841,0.15672,-0.34171,0.88123,-0.3229,0.24002,-0.24559,-0.93354,-1,0.03562,0.37098,0.20823,0.39267,0.8916
2,2,0.19688,-0.00517,0.17392,0.18345,0.89912,-0.38894,0.71063,-0.39508,-0.57288,-1,0.04475,0.45056,0.55872,0.49068,0.99645
3,2,0.19688,-0.00517,0.17392,0.18345,0.89912,-0.38894,0.71063,-0.39508,-0.57288,-1,0.04475,0.45056,0.55872,0.49068,0.99645
4,3,0.20653,-0.0198,0.17151,-0.283,0.73952,0.60167,0.87871,0.44541,-0.13477,-1,0.09562,0.45646,0.50727,0.49639,0.99993
5,0,0.18227,-0.01593,0.1561,0.17061,0.9424,0.26861,0.9407,-0.08221,-0.31367,-1,0.06259,0.38029,0.54091,0.4642,0.99704
6,0,0.18227,-0.01593,0.1561,0.17061,0.9424,0.26861,0.9407,-0.08221,-0.31367,-1,0.06259,0.38029,0.54091,0.4642,0.99704
7,4,0.15908,-0.01104,0.15134,-0.2679,0.15957,0.94471,0.74953,0.64494,0.10404,-1,0.0301,0.31917,0.49784,0.4734,0.99929
8,1,0.17569,-0.00841,0.15672,-0.34171,0.88123,-0.3229,0.24002,-0.24559,-0.93354,-1,0.03562,0.37098,0.20823,0.39267,0.8916
9,5,0.18925,0.00234,0.15701,-0.38621,0.2007,0.89551,0.57074,0.8132,0.06365,-1,0.11159,0.36895,0.49338,0.47946,0.99953
10,0,0.18227,-0.01593,0.1561,0.17061,0.9424,0.26861,0.9407,-0.08221,-0.31367,-1,0.06259,0.38029,0.54091,0.4642,0.99704
11,3,0.20653,-0.0198,0.17151,-0.283,0.73952,0.60167,0.87871,0.44541,-0.13477,-1,0.09562,0.45646,0.50727,0.49639,0.99993
12,3,0.20653,-0.0198,0.17151,-0.283,0.73952,0.60167,0.87871,0.44541,-0.13477,-1,0.09562,0.45646,0.50727,0.49639,0.99993
13,6,0.21369,-0.01285,0.17292,-0.49874,0.28983,0.80977,0.57244,0.81056,0.06238,-1,0.12439,0.46224,0.49828,0.49897,1
14,5,0.18925,0.00234,0.15701,-0.38621,0.2007,0.89551,0.57074,0.8132,0.06365,-1,0.11159,0.36895,0.49338,0.47946,0.99953
15,7,0.16119,0.01011,0.14972,-0.24172,0.19046,0.94723,0.61428,0.78342,-0.00113,-1,0.07922,0.28898,0.50117,0.50037,1
16,4,0.15908,-0.01104,0.15134,-0.2679,0.15957,0.94471,0.74953,0.64494,0.10404,-1,0.0301,0.31917,0.49784,0.4734,0.99929
17,0,0.18227,-0.01593,0.1561,0.17061,0.9424,0.26861,0.9407,-0.08221,-0.31367,-1,0.06259,0.38029,0.54091,0.4642,0.99704
18,0,0.18227,-0.01593,0.1561,0.17061,0.9424,0.26861,0.9407,-0.08221,-0.31367,-1,0.06259,0.38029,0.54091,0.4642,0.99704
19,5,0.18925,0.00234,0.15701,-0.38621,0.2007,0.89551,0.57074,0.8132,0.06365,-1,0.11159,0.36895,0.49338,0.47946,0.99953
20,7,0.16119,0.01011,0.14972,-0.24172,0.19046,0.94723,0.61428,0.78342,-0.00113,-1,0.07922,0.28898,0.50117,0.50037,1
21,8,0.18927,0.01335,0.1558,-0.60248,-0.03472,0.79185,0.46346,0.79127,0.38739,-1,0.13736,0.35027,0.41374,0.5549,0.98943
22,7,0.16119,0.01011,0.14972,-0.24172,0.19046,0.94723,0.61428,0.78342,-0.00113,-1,0.07922,0.28898,0.50117,0.50037,1
23,5,0.18925,0.00234,0.15701,-0.38621,0.2007,0.89551,0.57074,0.8132,0.06365,-1,0.11159,0.36895,0.49338,0.47946,0.99953
24,8,0.18927,0.01335,0.1558,-0.60248,-0.03472,0.79185,0.46346,0.79127,0.38739,-1,0.13736,0.35027,0.41374,0.5549,0.98943
25,5,0.18925,0.00234,0.15701,-0.38621,0.2007,0.89551,0.57074,0.8132,0.06365,-1,0.11159,0.36895,0.49338,0.47946,0.99953
26,9,0.21781,0.00252,0.17635,-0.54241,0.17676,0.81584,0.51218,0.83878,0.15868,-1,0.16266,0.45381,0.49505,0.50363,0.99996
27,5,0.18925,0.00234,0.15701,-0.38621,0.2007,0.89551,0.57074,0.8132,0.06365,-1,0.11159,0.36895,0.49338,0.47946,0.99953
28,6,0.21369,-0.01285,0.17292,-0.49874,0.28983,0.80977,0.57244,0.81056,0.06238,-1,0.12439,0.46224,0.49828,0.49897,1
29,9,0.21781,0.00252,0.17635,-0.54241,0.17676,0.81584,0.51218,0.83878,0.15868,-1,0.16266,0.45381,0.49505,0.50363,0.99996
30,9,0.21781,0.00252,0.17635,-0.54241,0.17676,0.81584,0.51218,0.83878,0.15868,-1,0.16266,0.45381,0.49505,0.50363,0.99996
31,10,0.21838,0.01545,0.17385,-0.45051,-0.50942,0.72845,0.61405,0.40991,0.66948,-1,0.19356,0.43207,0.38094,0.77906,0.89743
32,8,0.18927,0.01335,0.1558,-0.60248,-0.03472,0.79185,0.46346,0.79127,0.38739,-1,0.13736,0.35027,0.41374,0.5549,0.98943
33,11,0.21181,0.00713,0.17602,0.27112,-0.7905,-0.54153,0.25431,-0.4874,0.83455,-1,0.20792,0.40466,0.5622,0.40793,0.9875
34,8,0.18927,0.01335,0.1558,-0.60248,-0.03472,0.79185,0.46346,0.79127,0.38739,-1,0.13736,0.35027,0.41374,0.5549,0.98943
35,10,0.21838,0.01545,0.17385,-0.45051,-0.50942,0.72845,0.61405,0.40991,0.66948,-1,0.19356,0.43207,0.38094,0.77906,0.89743
36,8,0.18927,0.01335,0.1558,-0.60248,-0.03472,0.79185,0.46346,0.79127,0.38739,-1,0.13736,0.35027,0.41374,0.5549,0.98943
37,11,0.21181,0.00713,0.17602,0.27112,-0.7905,-0.54153,0.25431,-0.4874,0.83455,-1,0.20792,0.40466,0.5622,0.40793,0.9875
38,12,0.20156,0.00987,0.17718,-0.45575,-0.87708,0.1223,0.22696,0.01515,0.97145,-1,0.20512,0.37414,0.5194,0.44348,0.99642
39,13,0.18886,0.08071,0.16139,-0.54728,-0.31215,0.77656,0.29949,-0.93945,-0.16656,-1,0.30487,0.04959,0.46989,0.50967,0.999
40,14,0.17198,0.0698,0.14511,-0.46507,0.28727,0.83737,-0.18988,-0.95624,0.22259,-1,0.32104,0.10447,0.6923,0.48693,0.96135
41,15,0.2007,0.07349,0.16166,-0.10816,-0.9137,0.39173,0.60587,-0.37299,-0.70271,-1,0.32941,0.03111,0.40735,0.48769,0.99119
42,16,0.18423,0.09153,0.1553,-0.84786,0.25192,0.46656,-0.13011,-0.95187,0.27751,-1,0.27879,0.06281,0.49391,0.50691,0.99992
