VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,0.01563,0.02925,0.03681,-0.8097,3.82E-06,0.58684,0,-1,0,-1,1.2981,0.41696,0.15092,0.77034,0.73465
1,1,0.01197,0.01636,0.02557,-1,7.21E-07,0.00022,0,-1,0,-1,1.31703,0.4511,0.00291,0.5,0.55384
2,2,0.01563,0.01633,0.03681,-0.80863,3.11E-06,0.58831,0,-1,0,-1,1.31703,0.41696,0.12949,0.5,0.83574
3,1,0.01197,0.01636,0.02557,-1,7.21E-07,0.00022,0,-1,0,-1,1.31703,0.4511,0.00291,0.5,0.55384
4,0,0.01563,0.02925,0.03681,-0.8097,3.82E-06,0.58684,0,-1,0,-1,1.2981,0.41696,0.15092,0.77034,0.73465
5,3,0.01197,0.0293,0.02557,-1,-1.36E-06,-0.00039,0,-1,0,-1,1.2981,0.4511,0.07997,0.77076,0.48366
6,2,0.01563,0.01633,0.03681,-0.80863,3.11E-06,0.58831,0,-1,0,-1,1.31703,0.41696,0.12949,0.5,0.83574
7,4,0.0252,0.02917,0.04377,-0.31025,1.90E-06,0.95066,0,-1,0,-1,1.2981,0.38283,0.35551,0.76976,0.89542
8,0,0.01563,0.02925,0.03681,-0.8097,3.82E-06,0.58684,0,-1,0,-1,1.2981,0.41696,0.15092,0.77034,0.73465
9,4,0.0252,0.02917,0.04377,-0.31025,1.90E-06,0.95066,0,-1,0,-1,1.2981,0.38283,0.35551,0.76976,0.89542
10,2,0.01563,0.01633,0.03681,-0.80863,3.11E-06,0.58831,0,-1,0,-1,1.31703,0.41696,0.12949,0.5,0.83574
11,5,0.0252,0.01628,0.04377,-0.30833,-5.46E-07,0.95128,0,-1,0,-1,1.31703,0.38283,0.39759,0.5,0.9894
12,3,0.01197,0.0293,0.02557,-1,-1.36E-06,-0.00039,0,-1,0,-1,1.2981,0.4511,0.07997,0.77076,0.48366
13,6,0.01563,0.01635,0.01432,-0.80882,-2.77E-06,-0.58806,0,-1,0,-1,1.31703,0.48523,0.0662,0.5,0.25137
14,1,0.01197,0.01636,0.02557,-1,7.21E-07,0.00022,0,-1,0,-1,1.31703,0.4511,0.00291,0.5,0.55384
15,6,0.01563,0.01635,0.01432,-0.80882,-2.77E-06,-0.58806,0,-1,0,-1,1.31703,0.48523,0.0662,0.5,0.25137
16,3,0.01197,0.0293,0.02557,-1,-1.36E-06,-0.00039,0,-1,0,-1,1.2981,0.4511,0.07997,0.77076,0.48366
17,7,0.01563,0.0293,0.01432,-0.80938,-4.14E-06,-0.58729,0,-1,0,-1,1.2981,0.48523,0.17059,0.77067,0.23879
18,7,0.01563,0.0293,0.01432,-0.80938,-4.14E-06,-0.58729,0,-1,0,-1,1.2981,0.48523,0.17059,0.77067,0.23879
19,8,0.0252,0.01632,0.00737,-0.30838,-3.19E-06,-0.95126,0,-1,0,-1,1.31703,0.51936,0.29519,0.5,0.04387
20,6,0.01563,0.01635,0.01432,-0.80882,-2.77E-06,-0.58806,0,-1,0,-1,1.31703,0.48523,0.0662,0.5,0.25137
21,8,0.0252,0.01632,0.00737,-0.30838,-3.19E-06,-0.95126,0,-1,0,-1,1.31703,0.51936,0.29519,0.5,0.04387
22,7,0.01563,0.0293,0.01432,-0.80938,-4.14E-06,-0.58729,0,-1,0,-1,1.2981,0.48523,0.17059,0.77067,0.23879
23,9,0.0252,0.02923,0.00737,-0.31016,-1.13E-06,-0.95068,0,-1,0,-1,1.2981,0.51936,0.38777,0.77014,0.09451
24,9,0.0252,0.02923,0.00737,-0.31016,-1.13E-06,-0.95068,0,-1,0,-1,1.2981,0.51936,0.38777,0.77014,0.09451
25,10,0.03702,0.01628,0.00737,0.30965,4.94E-06,-0.95085,0,-1,0,-1,1.31703,0.55349,0.60241,0.5,0.0106
