VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD3.x, in_TEXCOORD3.y, in_TEXCOORD3.z
0,0,-0.207,0.02266,-0.07947,-0.80195,0.15144,0.57788,-0.03988,-0.97875,0.20114,-1,1.2981,0.42128,0.16325,0.8265,0.67318
1,1,-0.21016,0.01611,-0.0871,-0.99912,0.04178,0.00404,-0.0401,-0.97849,0.20237,-1,1.31703,0.4533,0.00392,0.53143,0.554
2,2,-0.20721,0.01773,-0.07846,-0.80225,0.15106,0.57756,-0.03982,-0.97884,0.2007,-1,1.31703,0.42128,0.13322,0.58242,0.82966
3,1,-0.21016,0.01611,-0.0871,-0.99912,0.04178,0.00404,-0.0401,-0.97849,0.20237,-1,1.31703,0.4533,0.00392,0.53143,0.554
4,0,-0.207,0.02266,-0.07947,-0.80195,0.15144,0.57788,-0.03988,-0.97875,0.20114,-1,1.2981,0.42128,0.16325,0.8265,0.67318
5,3,-0.20996,0.02098,-0.08811,-0.99914,0.04152,0.00217,-0.04021,-0.97836,0.20296,-1,1.2981,0.4533,0.09148,0.77954,0.42954
6,2,-0.20721,0.01773,-0.07846,-0.80225,0.15106,0.57756,-0.03982,-0.97884,0.2007,-1,1.31703,0.42128,0.13322,0.58242,0.82966
7,4,-0.19946,0.02349,-0.07416,-0.29787,0.20264,0.93285,-0.03967,-0.97899,0.2,-1,1.2981,0.38926,0.36758,0.8507,0.83087
8,0,-0.207,0.02266,-0.07947,-0.80195,0.15144,0.57788,-0.03988,-0.97875,0.20114,-1,1.2981,0.42128,0.16325,0.8265,0.67318
9,4,-0.19946,0.02349,-0.07416,-0.29787,0.20264,0.93285,-0.03967,-0.97899,0.2,-1,1.2981,0.38926,0.36758,0.8507,0.83087
10,2,-0.20721,0.01773,-0.07846,-0.80225,0.15106,0.57756,-0.03982,-0.97884,0.2007,-1,1.31703,0.42128,0.13322,0.58242,0.82966
11,5,-0.19966,0.01854,-0.07315,-0.29951,0.20242,0.93237,-0.03965,-0.97903,0.19981,-1,1.31703,0.38926,0.40286,0.60184,0.97978
12,3,-0.20996,0.02098,-0.08811,-0.99914,0.04152,0.00217,-0.04021,-0.97836,0.20296,-1,1.2981,0.4533,0.09148,0.77954,0.42954
13,6,-0.2074,0.01429,-0.09575,-0.81648,-0.08547,-0.57102,-0.04047,-0.97808,0.20427,-1,1.31703,0.48531,0.06371,0.46753,0.25793
14,1,-0.21016,0.01611,-0.0871,-0.99912,0.04178,0.00404,-0.0401,-0.97849,0.20237,-1,1.31703,0.4533,0.00392,0.53143,0.554
15,6,-0.2074,0.01429,-0.09575,-0.81648,-0.08547,-0.57102,-0.04047,-0.97808,0.20427,-1,1.31703,0.48531,0.06371,0.46753,0.25793
16,3,-0.20996,0.02098,-0.08811,-0.99914,0.04152,0.00217,-0.04021,-0.97836,0.20296,-1,1.2981,0.4533,0.09148,0.77954,0.42954
17,7,-0.2072,0.01912,-0.09676,-0.81415,-0.08641,-0.57418,-0.04059,-0.97798,0.20473,-1,1.2981,0.48531,0.17852,0.7277,0.1921
18,7,-0.2072,0.01912,-0.09676,-0.81415,-0.08641,-0.57418,-0.04059,-0.97798,0.20473,-1,1.2981,0.48531,0.17852,0.7277,0.1921
19,8,-0.19997,0.01298,-0.10112,-0.32138,-0.18191,-0.92931,-0.04073,-0.97781,0.20549,-1,1.31703,0.51733,0.29022,0.41512,0.05414
20,6,-0.2074,0.01429,-0.09575,-0.81648,-0.08547,-0.57102,-0.04047,-0.97808,0.20427,-1,1.31703,0.48531,0.06371,0.46753,0.25793
21,8,-0.19997,0.01298,-0.10112,-0.32138,-0.18191,-0.92931,-0.04073,-0.97781,0.20549,-1,1.31703,0.51733,0.29022,0.41512,0.05414
22,7,-0.2072,0.01912,-0.09676,-0.81415,-0.08641,-0.57418,-0.04059,-0.97798,0.20473,-1,1.2981,0.48531,0.17852,0.7277,0.1921
