VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.49412, -0.06144, -0.10247,  0.47188, -0.68119, -0.55974,  0.50196,  0.50196,  1.00,  0.00,  0.21331,  0.98764
1, 1,  0.43782, -0.0914, -0.10515,  0.3777, -0.87161, -0.31248,  0.50196,  0.50196,  1.00,  0.00,  0.23052,  0.93171
2, 2,  0.43738, -0.08542, -0.12113,  0.41549, -0.67853, -0.60577,  0.50196,  0.50196,  1.00,  0.00,  0.21403,  0.92933
3, 1,  0.43782, -0.0914, -0.10515,  0.3777, -0.87161, -0.31248,  0.50196,  0.50196,  1.00,  0.00,  0.23052,  0.93171
4, 3,  0.39989, -0.09468, -0.13178,  0.27047, -0.77548, -0.5705,  0.50196,  0.50196,  1.00,  0.00,  0.21126,  0.89084
5, 2,  0.43738, -0.08542, -0.12113,  0.41549, -0.67853, -0.60577,  0.50196,  0.50196,  1.00,  0.00,  0.21403,  0.92933
6, 3,  0.39989, -0.09468, -0.13178,  0.27047, -0.77548, -0.5705,  0.50196,  0.50196,  1.00,  0.00,  0.21126,  0.89084
7, 1,  0.43782, -0.0914, -0.10515,  0.3777, -0.87161, -0.31248,  0.50196,  0.50196,  1.00,  0.00,  0.23052,  0.93171
8, 4,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.23974,  0.89483
9, 5,  0.39943, -0.07722, -0.13849,  0.32142, -0.33559, -0.88548,  0.50196,  0.50196,  1.00,  0.00,  0.19328,  0.89308
10, 2,  0.43738, -0.08542, -0.12113,  0.41549, -0.67853, -0.60577,  0.50196,  0.50196,  1.00,  0.00,  0.21403,  0.92933
11, 3,  0.39989, -0.09468, -0.13178,  0.27047, -0.77548, -0.5705,  0.50196,  0.50196,  1.00,  0.00,  0.21126,  0.89084
12, 2,  0.43738, -0.08542, -0.12113,  0.41549, -0.67853, -0.60577,  0.50196,  0.50196,  1.00,  0.00,  0.21403,  0.92933
13, 5,  0.39943, -0.07722, -0.13849,  0.32142, -0.33559, -0.88548,  0.50196,  0.50196,  1.00,  0.00,  0.19328,  0.89308
14, 6,  0.43721, -0.07259, -0.12675,  0.3831, -0.36688, -0.84772,  0.50196,  0.50196,  1.00,  0.00,  0.20058,  0.93188
15, 6,  0.43721, -0.07259, -0.12675,  0.3831, -0.36688, -0.84772,  0.50196,  0.50196,  1.00,  0.00,  0.20058,  0.93188
16, 0,  0.49412, -0.06144, -0.10247,  0.47188, -0.68119, -0.55974,  0.50196,  0.50196,  1.00,  0.00,  0.21331,  0.98764
17, 2,  0.43738, -0.08542, -0.12113,  0.41549, -0.67853, -0.60577,  0.50196,  0.50196,  1.00,  0.00,  0.21403,  0.92933
18, 4,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.23974,  0.89483
19, 7,  0.35126, -0.10121, -0.13897,  0.10533, -0.89605, -0.43092,  0.50196,  0.50196,  1.00,  0.00,  0.21199,  0.84409
20, 3,  0.39989, -0.09468, -0.13178,  0.27047, -0.77548, -0.5705,  0.50196,  0.50196,  1.00,  0.00,  0.21126,  0.89084
21, 7,  0.35126, -0.10121, -0.13897,  0.10533, -0.89605, -0.43092,  0.50196,  0.50196,  1.00,  0.00,  0.21199,  0.84409
22, 4,  0.40098, -0.10232, -0.10331,  0.17956, -0.95657, -0.22961,  0.50196,  0.50196,  1.00,  0.00,  0.23974,  0.89483
23, 8,  0.35238, -0.1084, -0.09649,  0.08761, -0.98053, -0.17526,  0.50196,  0.50196,  1.00,  0.00,  0.25165,  0.84887
24, 8,  0.35238, -0.1084, -0.09649,  0.08761, -0.98053, -0.17526,  0.50196,  0.50196,  1.00,  0.00,  0.25165,  0.84887
25, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
26, 7,  0.35126, -0.10121, -0.13897,  0.10533, -0.89605, -0.43092,  0.50196,  0.50196,  1.00,  0.00,  0.21199,  0.84409
27, 9,  0.3003, -0.10508, -0.13759, -0.06046, -0.89853, -0.43472,  0.50196,  0.50196,  1.00,  0.00,  0.21626,  0.79643
28, 8,  0.35238, -0.1084, -0.09649,  0.08761, -0.98053, -0.17526,  0.50196,  0.50196,  1.00,  0.00,  0.25165,  0.84887
29, 10,  0.30054, -0.11425, -0.09085, -0.014, -0.97871, -0.20475,  0.50196,  0.50196,  1.00,  0.00,  0.26237,  0.79927
30, 10,  0.30054, -0.11425, -0.09085, -0.014, -0.97871, -0.20475,  0.50196,  0.50196,  1.00,  0.00,  0.26237,  0.79927
