VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z
0, 0,  0.00,  1.00,  0.00
1, 1, -0.09647,  0.99287, -0.07009
2, 2,  0.03685,  0.99287, -0.11341
3, 3, -0.72361,  0.44722, -0.52573
4, 4, -0.6753,  0.55068, -0.49063
5, 5, -0.77177,  0.47699, -0.42054
6, 6,  0.00,  1.00,  0.00
7, 7,  0.03685,  0.99287, -0.11341
8, 8,  0.11925,  0.99287,  0.00
9, 9,  0.00,  1.00,  0.00
10, 10,  0.11925,  0.99287,  0.00
11, 11,  0.03685,  0.99287,  0.11341
12, 12,  0.00,  1.00,  0.00
13, 13,  0.03685,  0.99287,  0.11341
14, 14, -0.09647,  0.99287,  0.07009
15, 15, -0.72361,  0.44722, -0.52573
16, 16, -0.77177,  0.47699, -0.42054
17, 17, -0.79455,  0.35774, -0.49063
18, 18,  0.27639,  0.44722, -0.85065
19, 19,  0.16147,  0.47699, -0.86395
20, 20,  0.22109,  0.35774, -0.90727
21, 21,  0.89443,  0.44722,  0.00
22, 22,  0.87156,  0.47698, -0.11341
23, 23,  0.93119,  0.35774, -0.07009
24, 24,  0.27639,  0.44722,  0.85065
25, 25,  0.37718,  0.47699,  0.79386
26, 26,  0.35441,  0.35774,  0.86395
27, 27, -0.72361,  0.44722,  0.52573
28, 28, -0.63845,  0.47699,  0.60404
29, 29, -0.71215,  0.35774,  0.60404
30, 30, -0.72361,  0.44722, -0.52573
31, 31, -0.79455,  0.35774, -0.49063
32, 32, -0.71215,  0.35774, -0.60404
33, 33,  0.27639,  0.44722, -0.85065
34, 34,  0.22109,  0.35774, -0.90727
35, 35,  0.35441,  0.35774, -0.86395
36, 36,  0.89443,  0.44722,  0.00
37, 37,  0.93119,  0.35774, -0.07009
38, 38,  0.93119,  0.35774,  0.07009
39, 39,  0.27639,  0.44722,  0.85065
40, 40,  0.35441,  0.35774,  0.86395
41, 41,  0.22109,  0.35774,  0.90727
42, 42, -0.72361,  0.44722,  0.52573
43, 43, -0.71215,  0.35774,  0.60404
44, 44, -0.79455,  0.35774,  0.49063
45, 45, -0.27639, -0.44722, -0.85065
46, 46, -0.37718, -0.47699, -0.79386
47, 47, -0.25794, -0.55068, -0.79386
48, 48,  0.72361, -0.44722, -0.52573
49, 49,  0.63845, -0.47699, -0.60404
50, 50,  0.6753, -0.55068, -0.49063
51, 51,  0.72361, -0.44722,  0.52573
52, 52,  0.77177, -0.47699,  0.42054
53, 53,  0.6753, -0.55068,  0.49063
54, 54, -0.27639, -0.44722,  0.85065
55, 55, -0.16147, -0.47699,  0.86395
56, 56, -0.25794, -0.55068,  0.79386
57, 57, -0.89443, -0.44722,  0.00
58, 58, -0.87156, -0.47698,  0.11341
59, 59, -0.83472, -0.55068,  0.00
60, 60, -0.11925, -0.99287,  0.00
61, 61, -0.03685, -0.99287,  0.11341
62, 62,  0.00, -1.00,  0.00
63, 63, -0.25115, -0.96795,  0.00
64, 64, -0.1662, -0.97867,  0.12075
65, 65, -0.11925, -0.99287,  0.00
66, 66, -0.38967, -0.92095,  0.00
67, 67, -0.30717, -0.94321,  0.12652
