VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -0.3897, -0.10654,  0.16763, -0.29754, -0.56409, -0.77024,  0.42805,  0.69385,  0.02225,  0.02453
1, 1, -0.40622, -0.12226,  0.18776, -0.76332, -0.62436, -0.16591,  0.4219,  0.69009,  0.02223,  0.02451
2, 2, -0.41162, -0.09897,  0.17461, -0.88574, -0.1894, -0.42379,  0.4277,  0.68801,  0.02225,  0.0245
3, 1, -0.40622, -0.12226,  0.18776, -0.76332, -0.62436, -0.16591,  0.4219,  0.69009,  0.02223,  0.02451
4, 0, -0.3897, -0.10654,  0.16763, -0.29754, -0.56409, -0.77024,  0.42805,  0.69385,  0.02225,  0.02453
5, 3, -0.38651, -0.1371,  0.19415, -0.27027, -0.95588, -0.1151,  0.41849,  0.69468,  0.02222,  0.02453
6, 3, -0.38651, -0.1371,  0.19415, -0.27027, -0.95588, -0.1151,  0.41849,  0.69468,  0.02222,  0.02453
7, 4, -0.40515, -0.11644,  0.19626, -0.60507,  0.07829,  0.79232,  0.42049,  0.6883,  0.02222,  0.02451
8, 1, -0.40622, -0.12226,  0.18776, -0.76332, -0.62436, -0.16591,  0.4219,  0.69009,  0.02223,  0.02451
9, 4, -0.40515, -0.11644,  0.19626, -0.60507,  0.07829,  0.79232,  0.42049,  0.6883,  0.02222,  0.02451
10, 2, -0.41162, -0.09897,  0.17461, -0.88574, -0.1894, -0.42379,  0.4277,  0.68801,  0.02225,  0.0245
11, 1, -0.40622, -0.12226,  0.18776, -0.76332, -0.62436, -0.16591,  0.4219,  0.69009,  0.02223,  0.02451
12, 4, -0.40515, -0.11644,  0.19626, -0.60507,  0.07829,  0.79232,  0.42049,  0.6883,  0.02222,  0.02451
13, 3, -0.38651, -0.1371,  0.19415, -0.27027, -0.95588, -0.1151,  0.41849,  0.69468,  0.02222,  0.02453
14, 5, -0.38505, -0.13138,  0.20568, -0.20654, -0.29446,  0.93308,  0.4158,  0.69383,  0.02221,  0.02453
15, 6, -0.3592, -0.13484,  0.19306,  0.12235, -0.98901, -0.08295,  0.41847,  0.70067,  0.02222,  0.02455
