VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -0.00912, -0.05647,  0.1594,  0.49248,  0.47602, -0.72861,  0.8042,  0.6402,  0.00575,  0.06069
1, 1, -0.02136, -0.07385,  0.14692,  0.4528, -0.0496, -0.88309,  0.82373,  0.62648,  0.00578,  0.06066
2, 2, -0.02363, -0.05667,  0.15067,  0.32355,  0.56038, -0.74499,  0.80645,  0.62297,  0.00575,  0.06066
3, 1, -0.02136, -0.07385,  0.14692,  0.4528, -0.0496, -0.88309,  0.82373,  0.62648,  0.00578,  0.06066
4, 0, -0.00912, -0.05647,  0.1594,  0.49248,  0.47602, -0.72861,  0.8042,  0.6402,  0.00575,  0.06069
5, 3, -0.01026, -0.08384,  0.15519,  0.50473, -0.30952, -0.80588,  0.82547,  0.64026,  0.00578,  0.06069
6, 3, -0.01026, -0.08384,  0.15519,  0.50473, -0.30952, -0.80588,  0.82547,  0.64026,  0.00578,  0.06069
7, 4, -0.02855, -0.09134,  0.15373, -0.05353, -0.79496, -0.60232,  0.84748,  0.6287,  0.00582,  0.06067
8, 1, -0.02136, -0.07385,  0.14692,  0.4528, -0.0496, -0.88309,  0.82373,  0.62648,  0.00578,  0.06066
9, 4, -0.02855, -0.09134,  0.15373, -0.05353, -0.79496, -0.60232,  0.84748,  0.6287,  0.00582,  0.06067
10, 3, -0.01026, -0.08384,  0.15519,  0.50473, -0.30952, -0.80588,  0.82547,  0.64026,  0.00578,  0.06069
11, 5, -0.02126, -0.09859,  0.16259, -0.08548, -0.84756, -0.52378,  0.8449,  0.6419,  0.00581,  0.06069
12, 5, -0.02126, -0.09859,  0.16259, -0.08548, -0.84756, -0.52378,  0.8449,  0.6419,  0.00581,  0.06069
13, 6, -0.03898, -0.08921,  0.16614, -0.60549, -0.74857,  0.21622,  0.86941,  0.62818,  0.00585,  0.06067
14, 4, -0.02855, -0.09134,  0.15373, -0.05353, -0.79496, -0.60232,  0.84748,  0.6287,  0.00582,  0.06067
15, 6, -0.03898, -0.08921,  0.16614, -0.60549, -0.74857,  0.21622,  0.86941,  0.62818,  0.00585,  0.06067
16, 5, -0.02126, -0.09859,  0.16259, -0.08548, -0.84756, -0.52378,  0.8449,  0.6419,  0.00581,  0.06069
17, 7, -0.03296, -0.09419,  0.17496, -0.7049, -0.68577,  0.18119,  0.8735,  0.6439,  0.00586,  0.06069
18, 7, -0.03296, -0.09419,  0.17496, -0.7049, -0.68577,  0.18119,  0.8735,  0.6439,  0.00586,  0.06069
19, 8, -0.04419, -0.07477,  0.1734, -0.76072, -0.25645,  0.57452,  0.89008,  0.62889,  0.00589,  0.06067
20, 6, -0.03898, -0.08921,  0.16614, -0.60549, -0.74857,  0.21622,  0.86941,  0.62818,  0.00585,  0.06067
21, 8, -0.04419, -0.07477,  0.1734, -0.76072, -0.25645,  0.57452,  0.89008,  0.62889,  0.00589,  0.06067
22, 7, -0.03296, -0.09419,  0.17496, -0.7049, -0.68577,  0.18119,  0.8735,  0.6439,  0.00586,  0.06069
23, 9, -0.038, -0.06949,  0.18441, -0.8146,  0.0381,  0.57877,  0.9006,  0.6473,  0.0059,  0.0607
24, 9, -0.038, -0.06949,  0.18441, -0.8146,  0.0381,  0.57877,  0.9006,  0.6473,  0.0059,  0.0607
25, 10, -0.04245, -0.05759,  0.17325, -0.66672,  0.52826,  0.51319,  0.90935,  0.63102,  0.00592,  0.06067
26, 8, -0.04419, -0.07477,  0.1734, -0.76072, -0.25645,  0.57452,  0.89008,  0.62889,  0.00589,  0.06067
27, 10, -0.04245, -0.05759,  0.17325, -0.66672,  0.52826,  0.51319,  0.90935,  0.63102,  0.00592,  0.06067
28, 9, -0.038, -0.06949,  0.18441, -0.8146,  0.0381,  0.57877,  0.9006,  0.6473,  0.0059,  0.0607
