VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -0.15151,  0.59646,  0.00578,  0.00,  0.99801,  0.06309,  0.66494,  0.22062
1, 1,  0.00,  0.59646,  0.00578,  0.00,  0.99801,  0.06309,  0.59693,  0.22062
2, 2,  0.00,  0.59766, -0.01314,  0.00,  0.92976,  0.36815,  0.59693,  0.22966
3, 0, -0.15151,  0.59646,  0.00578,  0.00,  0.99801,  0.06309,  0.66494,  0.22062
4, 2,  0.00,  0.59766, -0.01314,  0.00,  0.92976,  0.36815,  0.59693,  0.22966
5, 3, -0.15151,  0.59766, -0.01314,  0.00,  0.92976,  0.36815,  0.66494,  0.22966
6, 2,  0.00,  0.59766, -0.01314,  0.00,  0.92976,  0.36815,  0.59693,  0.22966
7, 4, -0.15151,  0.60549, -0.02261,  0.00,  0.65539,  0.75529,  0.66494,  0.23802
8, 3, -0.15151,  0.59766, -0.01314,  0.00,  0.92976,  0.36815,  0.66494,  0.22966
9, 2,  0.00,  0.59766, -0.01314,  0.00,  0.92976,  0.36815,  0.59693,  0.22966
10, 5,  0.00,  0.60549, -0.02261,  0.00,  0.65539,  0.75529,  0.59693,  0.23802
11, 4, -0.15151,  0.60549, -0.02261,  0.00,  0.65539,  0.75529,  0.66494,  0.23802
12, 5,  0.00,  0.60549, -0.02261,  0.00,  0.65539,  0.75529,  0.59693,  0.23802
13, 6, -0.15151,  0.61701, -0.02967,  0.00,  0.52229,  0.85277,  0.66494,  0.2431
14, 4, -0.15151,  0.60549, -0.02261,  0.00,  0.65539,  0.75529,  0.66494,  0.23802
15, 5,  0.00,  0.60549, -0.02261,  0.00,  0.65539,  0.75529,  0.59693,  0.23802
16, 7,  0.00,  0.61701, -0.02967,  0.00,  0.52229,  0.85277,  0.59693,  0.2431
17, 6, -0.15151,  0.61701, -0.02967,  0.00,  0.52229,  0.85277,  0.66494,  0.2431
18, 8, -0.15151,  0.13694,  0.02382,  0.00,  0.00,  1.00,  0.35164,  0.01708
19, 9,  0.00,  0.13694,  0.02382,  0.00,  0.00,  1.00,  0.45213,  0.01708
20, 10,  0.00,  0.30676,  0.02382,  0.00,  0.02788,  0.99961,  0.45213,  0.1355
21, 8, -0.15151,  0.13694,  0.02382,  0.00,  0.00,  1.00,  0.35164,  0.01708
22, 10,  0.00,  0.30676,  0.02382,  0.00,  0.02788,  0.99961,  0.45213,  0.1355
23, 11, -0.15151,  0.30676,  0.02382,  0.00,  0.02788,  0.99961,  0.35164,  0.1355
24, 12,  0.00,  0.13694, -0.02967,  0.00,  0.00, -1.00,  0.59693,  0.01683
25, 13, -0.15151,  0.13694, -0.02967,  0.00,  0.00, -1.00,  0.66494,  0.01683
26, 14, -0.15151,  0.61701, -0.02967,  0.00,  0.00, -1.00,  0.66494,  0.2203
27, 12,  0.00,  0.13694, -0.02967,  0.00,  0.00, -1.00,  0.59693,  0.01683
28, 14, -0.15151,  0.61701, -0.02967,  0.00,  0.00, -1.00,  0.66494,  0.2203
29, 15,  0.00,  0.61701, -0.02967,  0.00,  0.00, -1.00,  0.59693,  0.2203
30, 16, -0.15151,  0.13694, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.01481
31, 17, -0.15151,  0.60549, -0.02261, -1.00,  0.00,  0.00,  0.56716,  0.20601
32, 18, -0.15151,  0.61701, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.20601
33, 16, -0.15151,  0.13694, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.01481
34, 19, -0.15151,  0.53567,  0.00338, -1.00,  0.00,  0.00,  0.58652,  0.17727
35, 17, -0.15151,  0.60549, -0.02261, -1.00,  0.00,  0.00,  0.56716,  0.20601
36, 16, -0.15151,  0.13694, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.01481
37, 20, -0.15151,  0.41503,  0.01028, -1.00,  0.00,  0.00,  0.58652,  0.12848
38, 19, -0.15151,  0.53567,  0.00338, -1.00,  0.00,  0.00,  0.58652,  0.17727
39, 16, -0.15151,  0.13694, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.01481
40, 21, -0.15151,  0.35062,  0.02137, -1.00,  0.00,  0.00,  0.58652,  0.10755
41, 20, -0.15151,  0.41503,  0.01028, -1.00,  0.00,  0.00,  0.58652,  0.12848
42, 16, -0.15151,  0.13694, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.01481
43, 22, -0.15151,  0.30676,  0.02382, -1.00,  0.00,  0.00,  0.58652,  0.08982
44, 21, -0.15151,  0.35062,  0.02137, -1.00,  0.00,  0.00,  0.58652,  0.10755
45, 16, -0.15151,  0.13694, -0.02967, -1.00,  0.00,  0.00,  0.56339,  0.01481
46, 23, -0.15151,  0.13694,  0.02382, -1.00,  0.00,  0.00,  0.58652,  0.01481
47, 22, -0.15151,  0.30676,  0.02382, -1.00,  0.00,  0.00,  0.58652,  0.08982
48, 19, -0.15151,  0.53567,  0.00338, -1.00,  0.00,  0.00,  0.58652,  0.17727
49, 24, -0.15151,  0.59766, -0.01314, -1.00,  0.00,  0.00,  0.57222,  0.20601
50, 17, -0.15151,  0.60549, -0.02261, -1.00,  0.00,  0.00,  0.56716,  0.20601
51, 19, -0.15151,  0.53567,  0.00338, -1.00,  0.00,  0.00,  0.58652,  0.17727
52, 25, -0.15151,  0.59646,  0.00578, -1.00,  0.00,  0.00,  0.58652,  0.20601
53, 24, -0.15151,  0.59766, -0.01314, -1.00,  0.00,  0.00,  0.57222,  0.20601
54, 26,  0.00,  0.35062,  0.02137,  0.00,  0.11289,  0.99361,  0.59693,  0.11788
55, 27,  0.00,  0.41503,  0.01028,  0.00,  0.11359,  0.99353,  0.59693,  0.14068
56, 28, -0.15151,  0.41503,  0.01028,  0.00,  0.11359,  0.99353,  0.66494,  0.14068
57, 26,  0.00,  0.35062,  0.02137,  0.00,  0.11289,  0.99361,  0.59693,  0.11788
58, 28, -0.15151,  0.41503,  0.01028,  0.00,  0.11359,  0.99353,  0.66494,  0.14068
59, 29, -0.15151,  0.35062,  0.02137,  0.00,  0.11289,  0.99361,  0.66494,  0.11788
60, 27,  0.00,  0.41503,  0.01028,  0.00,  0.11359,  0.99353,  0.59693,  0.14068
61, 30, -0.15151,  0.53567,  0.00338,  0.00,  0.00883,  0.99996,  0.66494,  0.19383
62, 28, -0.15151,  0.41503,  0.01028,  0.00,  0.11359,  0.99353,  0.66494,  0.14068
63, 27,  0.00,  0.41503,  0.01028,  0.00,  0.11359,  0.99353,  0.59693,  0.14068
64, 31,  0.00,  0.53567,  0.00338,  0.00,  0.00883,  0.99996,  0.59693,  0.19383
65, 30, -0.15151,  0.53567,  0.00338,  0.00,  0.00883,  0.99996,  0.66494,  0.19383
66, 31,  0.00,  0.53567,  0.00338,  0.00,  0.00883,  0.99996,  0.59693,  0.19383
67, 32, -0.15151,  0.59646,  0.00578,  0.00, -0.03951,  0.99922,  0.66494,  0.22062
68, 30, -0.15151,  0.53567,  0.00338,  0.00,  0.00883,  0.99996,  0.66494,  0.19383
