VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.42478,  0.24865,  0.21641,  0.91423, -0.01659,  0.40486,  0.02105,  0.99976, -0.00656,  1.00,  0.2498,  0.89082
1, 1,  0.4386,  0.37543,  0.09039,  0.99842,  0.0248,  0.05036, -0.02493,  0.99969,  0.00199,  1.00,  0.37356,  0.75906
2, 2,  0.42478,  0.37543,  0.21641,  0.91465,  0.02022,  0.40374, -0.02474,  0.99968,  0.00599,  1.00,  0.37354,  0.89082
3, 1,  0.4386,  0.37543,  0.09039,  0.99842,  0.0248,  0.05036, -0.02493,  0.99969,  0.00199,  1.00,  0.37356,  0.75906
4, 0,  0.42478,  0.24865,  0.21641,  0.91423, -0.01659,  0.40486,  0.02105,  0.99976, -0.00656,  1.00,  0.2498,  0.89082
5, 3,  0.4386,  0.24434,  0.09039,  0.9985, -0.02212,  0.05015,  0.02233,  0.99974, -0.00371,  1.00,  0.25028,  0.75908
6, 2,  0.42478,  0.37543,  0.21641,  0.91465,  0.02022,  0.40374, -0.02474,  0.99968,  0.00599,  1.00,  0.37354,  0.89082
7, 4,  0.41237,  0.24865,  0.22886,  0.53866, -0.00534,  0.84251,  0.02514,  0.99964, -0.00974,  1.00,  0.2498,  0.90716
8, 0,  0.42478,  0.24865,  0.21641,  0.91423, -0.01659,  0.40486,  0.02105,  0.99976, -0.00656,  1.00,  0.2498,  0.89082
9, 4,  0.41237,  0.24865,  0.22886,  0.53866, -0.00534,  0.84251,  0.02514,  0.99964, -0.00974,  1.00,  0.2498,  0.90716
10, 2,  0.42478,  0.37543,  0.21641,  0.91465,  0.02022,  0.40374, -0.02474,  0.99968,  0.00599,  1.00,  0.37354,  0.89082
11, 5,  0.41237,  0.37543,  0.22886,  0.53937,  0.0061,  0.84205, -0.02887,  0.99952,  0.01125,  1.00,  0.37354,  0.90716
12, 4,  0.41237,  0.24865,  0.22886,  0.53866, -0.00534,  0.84251,  0.02514,  0.99964, -0.00974,  1.00,  0.2498,  0.90716
13, 5,  0.41237,  0.37543,  0.22886,  0.53937,  0.0061,  0.84205, -0.02887,  0.99952,  0.01125,  1.00,  0.37354,  0.90716
14, 6,  0.33452,  0.31204,  0.25101,  0.24872,  0.00458,  0.96856, -0.00207,  0.99999, -0.00419,  1.00,  0.31331,  0.98122
15, 7,  0.43099,  0.52751,  0.09086,  0.99158,  0.1198,  0.04922, -0.12012,  0.99275,  0.00369,  1.00,  0.52262,  0.7589
16, 2,  0.42478,  0.37543,  0.21641,  0.91465,  0.02022,  0.40374, -0.02474,  0.99968,  0.00599,  1.00,  0.37354,  0.89082
17, 1,  0.4386,  0.37543,  0.09039,  0.99842,  0.0248,  0.05036, -0.02493,  0.99969,  0.00199,  1.00,  0.37356,  0.75906
18, 2,  0.42478,  0.37543,  0.21641,  0.91465,  0.02022,  0.40374, -0.02474,  0.99968,  0.00599,  1.00,  0.37354,  0.89082
19, 7,  0.43099,  0.52751,  0.09086,  0.99158,  0.1198,  0.04922, -0.12012,  0.99275,  0.00369,  1.00,  0.52262,  0.7589
20, 8,  0.41724,  0.52751,  0.21867,  0.91186,  0.10225,  0.39756, -0.10705,  0.9942, -0.01016,  1.00,  0.52263,  0.89082
21, 9,  0.41724,  0.07395,  0.21867,  0.91218, -0.101,  0.39715,  0.11725,  0.99296, -0.01677,  1.00,  0.07539,  0.89082
22, 3,  0.4386,  0.24434,  0.09039,  0.9985, -0.02212,  0.05015,  0.02233,  0.99974, -0.00371,  1.00,  0.25028,  0.75908
23, 0,  0.42478,  0.24865,  0.21641,  0.91423, -0.01659,  0.40486,  0.02105,  0.99976, -0.00656,  1.00,  0.2498,  0.89082
24, 3,  0.4386,  0.24434,  0.09039,  0.9985, -0.02212,  0.05015,  0.02233,  0.99974, -0.00371,  1.00,  0.25028,  0.75908
25, 9,  0.41724,  0.07395,  0.21867,  0.91218, -0.101,  0.39715,  0.11725,  0.99296, -0.01677,  1.00,  0.07539,  0.89082
26, 10,  0.43099,  0.07395,  0.09086,  0.99177, -0.1182,  0.04911,  0.1185,  0.99295, -0.00315,  1.00,  0.07548,  0.75845
27, 9,  0.41724,  0.07395,  0.21867,  0.91218, -0.101,  0.39715,  0.11725,  0.99296, -0.01677,  1.00,  0.07539,  0.89082
28, 11,  0.42392,  0.03783,  0.09087,  0.87091, -0.48943,  0.04444,  0.4894,  0.87197,  0.01232,  1.00,  0.04095,  0.75815
