VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.02608,  0.94712, -0.0137,  1.00,  0.00,  0.00,  0.61614,  0.89859
1, 1,  0.02608,  0.94712,  0.01744,  1.00,  0.00,  0.00,  0.64038,  0.89859
2, 2,  0.02608,  0.88267,  0.01744,  1.00,  0.00,  0.00,  0.64038,  0.84922
3, 0,  0.02608,  0.94712, -0.0137,  1.00,  0.00,  0.00,  0.61614,  0.89859
4, 2,  0.02608,  0.88267,  0.01744,  1.00,  0.00,  0.00,  0.64038,  0.84922
5, 3,  0.02608,  0.88267, -0.0137,  1.00,  0.00,  0.00,  0.61614,  0.84913
6, 4,  0.02608,  0.94712,  0.01744,  0.00,  1.00,  0.00,  0.87578,  0.97618
7, 5, -1.93177E-9,  0.94712,  0.04419,  0.00,  1.00,  0.00,  0.89791,  0.95837
8, 6,  0.05671,  0.94712,  0.04419,  0.06535,  0.99786,  0.00,  0.84977,  0.95837
9, 4,  0.02608,  0.94712,  0.01744,  0.00,  1.00,  0.00,  0.87578,  0.97618
10, 6,  0.05671,  0.94712,  0.04419,  0.06535,  0.99786,  0.00,  0.84977,  0.95837
11, 7,  0.05671,  0.94712,  0.01744,  0.06198,  0.99808,  0.00,  0.84977,  0.97618
12, 8,  0.62487,  0.87428,  0.06523,  0.06536,  0.99786,  0.00,  0.3639,  0.97618
13, 7,  0.05671,  0.94712,  0.01744,  0.06198,  0.99808,  0.00,  0.84977,  0.97618
14, 6,  0.05671,  0.94712,  0.04419,  0.06535,  0.99786,  0.00,  0.84977,  0.95837
15, 8,  0.62487,  0.87428,  0.06523,  0.06536,  0.99786,  0.00,  0.3639,  0.97618
16, 6,  0.05671,  0.94712,  0.04419,  0.06535,  0.99786,  0.00,  0.84977,  0.95837
17, 9,  0.62487,  0.87428,  0.09199,  0.06198,  0.99808,  0.00,  0.3639,  0.95837
18, 10,  0.68614,  0.87428,  0.09199,  0.00,  1.00,  0.00,  0.31524,  0.95837
19, 8,  0.62487,  0.87428,  0.06523,  0.06536,  0.99786,  0.00,  0.3639,  0.97618
20, 9,  0.62487,  0.87428,  0.09199,  0.06198,  0.99808,  0.00,  0.3639,  0.95837
21, 10,  0.68614,  0.87428,  0.09199,  0.00,  1.00,  0.00,  0.31524,  0.95837
