VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -5.58794E-9,  0.13619, -0.47661, -0.00026, -1.00,  0.00,  0.66689,  0.84664
1, 1,  0.88231,  0.13597, -0.47661, -0.00026, -1.00,  0.00,  0.4776,  0.84664
2, 2,  0.88231,  0.13597,  0.72104, -0.00026, -1.00,  0.00,  0.4776,  0.83691
3, 0, -5.58794E-9,  0.13619, -0.47661, -0.00026, -1.00,  0.00,  0.66689,  0.84664
4, 2,  0.88231,  0.13597,  0.72104, -0.00026, -1.00,  0.00,  0.4776,  0.83691
5, 3,  5.96046E-8,  0.13619,  0.72104, -0.00026, -1.00,  0.00,  0.66689,  0.83691
6, 4,  0.88231, -0.00102, -1.15236,  0.00, -1.00,  0.00,  0.4776,  0.87822
7, 5,  0.88231, -0.00102, -0.55223,  0.00, -1.00,  0.00,  0.4776,  0.86691
8, 6,  1.92085E-9, -0.00102, -0.55223,  0.00, -1.00,  0.00,  0.66689,  0.86691
9, 4,  0.88231, -0.00102, -1.15236,  0.00, -1.00,  0.00,  0.4776,  0.87822
10, 6,  1.92085E-9, -0.00102, -0.55223,  0.00, -1.00,  0.00,  0.66689,  0.86691
11, 7, -2.87546E-8, -0.00102, -1.15236,  0.00, -1.00,  0.00,  0.66689,  0.87822
12, 8,  0.1852,  0.06389,  1.21514,  0.00,  0.00,  1.00,  0.20145,  0.84876
13, 9,  0.82082,  0.06389,  1.21514,  0.00,  0.00,  1.00,  0.02459,  0.84876
14, 10,  0.82082,  0.32414,  1.21514,  0.00,  0.00,  1.00,  0.02459,  0.95261
15, 8,  0.1852,  0.06389,  1.21514,  0.00,  0.00,  1.00,  0.20145,  0.84876
16, 10,  0.82082,  0.32414,  1.21514,  0.00,  0.00,  1.00,  0.02459,  0.95261
17, 11,  0.14724,  0.10651,  1.21514,  0.00,  0.00,  1.00,  0.2124,  0.86379
18, 10,  0.82082,  0.32414,  1.21514,  0.00,  0.00,  1.00,  0.02459,  0.95261
19, 12,  7.63685E-8,  0.32414,  1.21514,  0.00,  0.00,  1.00,  0.25331,  0.95261
20, 11,  0.14724,  0.10651,  1.21514,  0.00,  0.00,  1.00,  0.2124,  0.86379
21, 12,  7.63685E-8,  0.32414,  1.21514,  0.00,  0.00,  1.00,  0.25331,  0.95261
22, 13,  8.80026E-8,  0.10651,  1.21514,  0.00,  0.00,  1.00,  0.2533,  0.86379
23, 11,  0.14724,  0.10651,  1.21514,  0.00,  0.00,  1.00,  0.2124,  0.86379
24, 14,  0.82082,  0.32414,  1.21514,  0.00, -1.00,  0.00,  0.02459,  0.95261
25, 15,  0.82082,  0.32414,  1.22841,  0.00, -1.00,  0.00,  0.02459,  0.95732
26, 16,  7.82311E-8,  0.32414,  1.22841,  0.00, -1.00,  0.00,  0.25331,  0.95732
27, 14,  0.82082,  0.32414,  1.21514,  0.00, -1.00,  0.00,  0.02459,  0.95261
28, 16,  7.82311E-8,  0.32414,  1.22841,  0.00, -1.00,  0.00,  0.25331,  0.95732
29, 17,  7.63685E-8,  0.32414,  1.21514,  0.00, -1.00,  0.00,  0.25331,  0.95261
30, 18,  0.1852,  0.06389,  1.21514,  0.74673,  0.66513,  0.00,  0.20145,  0.84876
31, 19,  0.14724,  0.10651,  1.21514,  0.74673,  0.66513,  0.00,  0.2124,  0.86379
32, 20,  0.14724,  0.10651,  1.22841,  0.74673,  0.66513,  0.00,  0.2124,  0.85945
33, 18,  0.1852,  0.06389,  1.21514,  0.74673,  0.66513,  0.00,  0.20145,  0.84876
34, 20,  0.14724,  0.10651,  1.22841,  0.74673,  0.66513,  0.00,  0.2124,  0.85945
35, 21,  0.1852,  0.06389,  1.22841,  0.74673,  0.66513,  0.00,  0.20145,  0.84401
36, 22,  0.82082,  0.06389,  1.21514,  0.00,  1.00,  0.00,  0.02459,  0.84876
37, 23,  0.1852,  0.06389,  1.21514,  0.00,  1.00,  0.00,  0.20145,  0.84876
38, 24,  0.1852,  0.06389,  1.22841,  0.00,  1.00,  0.00,  0.20145,  0.84401
39, 22,  0.82082,  0.06389,  1.21514,  0.00,  1.00,  0.00,  0.02459,  0.84876
40, 24,  0.1852,  0.06389,  1.22841,  0.00,  1.00,  0.00,  0.20145,  0.84401
41, 25,  0.82082,  0.06389,  1.22841,  0.00,  1.00,  0.00,  0.02459,  0.84401
42, 26,  0.82082,  0.32414,  1.21514, -1.00,  0.00,  0.00,  0.02459,  0.95261
43, 27,  0.82082,  0.06389,  1.21514, -1.00,  0.00,  0.00,  0.02459,  0.84876
44, 28,  0.82082,  0.06389,  1.22841, -1.00,  0.00,  0.00,  0.0208,  0.84876
45, 26,  0.82082,  0.32414,  1.21514, -1.00,  0.00,  0.00,  0.02459,  0.95261
46, 28,  0.82082,  0.06389,  1.22841, -1.00,  0.00,  0.00,  0.0208,  0.84876
47, 29,  0.82082,  0.32414,  1.22841, -1.00,  0.00,  0.00,  0.0208,  0.95261
48, 30,  7.26432E-8,  0.39272,  1.22841,  0.00,  0.97308, -0.23048,  0.25331,  0.98202
49, 31,  0.88231,  0.39272,  1.22841,  0.00,  0.97308, -0.23048,  0.00763,  0.98202
50, 32,  0.83182,  0.3832,  1.18821,  0.00,  0.97308, -0.23048,  0.02169,  0.9969
51, 30,  7.26432E-8,  0.39272,  1.22841,  0.00,  0.97308, -0.23048,  0.25331,  0.98202
52, 32,  0.83182,  0.3832,  1.18821,  0.00,  0.97308, -0.23048,  0.02169,  0.9969
53, 33,  7.07805E-8,  0.3832,  1.18821,  0.00,  0.97308, -0.23048,  0.2533,  0.9969
54, 34,  0.88231,  0.39347, -1.15236, -0.1923,  0.98134,  0.00016,  0.26526,  0.98061
55, 35,  0.83182,  0.3832, -1.08084, -0.1923,  0.98134,  0.00016,  0.28724,  0.99888
56, 36,  0.83182,  0.3832,  1.18821, -0.1923,  0.98134,  0.00016,  0.98469,  0.99888
57, 34,  0.88231,  0.39347, -1.15236, -0.1923,  0.98134,  0.00016,  0.26526,  0.98061
58, 36,  0.83182,  0.3832,  1.18821, -0.1923,  0.98134,  0.00016,  0.98469,  0.99888
59, 37,  0.88231,  0.39272,  1.22841, -0.1923,  0.98134,  0.00016,  0.99692,  0.98044
60, 38,  0.88231,  0.13597, -0.47661,  1.00,  0.00,  0.00,  0.47293,  0.88706
61, 39,  0.88231, -0.00102, -0.55223,  1.00,  0.00,  0.00,  0.44969,  0.83777
62, 40,  0.88231, -0.00102, -1.15236,  1.00,  0.00,  0.00,  0.26526,  0.83777
63, 38,  0.88231,  0.13597, -0.47661,  1.00,  0.00,  0.00,  0.47293,  0.88706
64, 40,  0.88231, -0.00102, -1.15236,  1.00,  0.00,  0.00,  0.26526,  0.83777
65, 41,  0.88231,  0.39347, -1.15236,  1.00,  0.00,  0.00,  0.26526,  0.98061
66, 42,  0.88231,  0.39272,  1.22841,  1.00,  0.00,  0.00,  0.99692,  0.98044
67, 38,  0.88231,  0.13597, -0.47661,  1.00,  0.00,  0.00,  0.47293,  0.88706
68, 41,  0.88231,  0.39347, -1.15236,  1.00,  0.00,  0.00,  0.26526,  0.98061
69, 42,  0.88231,  0.39272,  1.22841,  1.00,  0.00,  0.00,  0.99692,  0.98044
70, 43,  0.88231,  0.13597,  0.72104,  1.00,  0.00,  0.00,  0.84099,  0.88706
71, 38,  0.88231,  0.13597, -0.47661,  1.00,  0.00,  0.00,  0.47293,  0.88706
72, 44,  0.88231, -1.34272E-7,  0.79666,  1.00,  0.00,  0.00,  0.86423,  0.83777
73, 43,  0.88231,  0.13597,  0.72104,  1.00,  0.00,  0.00,  0.84099,  0.88706
74, 42,  0.88231,  0.39272,  1.22841,  1.00,  0.00,  0.00,  0.99692,  0.98044
75, 44,  0.88231, -1.34272E-7,  0.79666,  1.00,  0.00,  0.00,  0.86423,  0.83777
76, 42,  0.88231,  0.39272,  1.22841,  1.00,  0.00,  0.00,  0.99692,  0.98044
77, 45,  0.88231, -2.50494E-7,  1.22841,  1.00,  0.00,  0.00,  0.99692,  0.83777
78, 46,  0.88231, -2.50494E-7,  1.22841,  0.00,  0.00,  1.00,  0.00368,  0.83603
79, 47,  0.88231,  0.39272,  1.22841,  0.00,  0.00,  1.00,  0.00368,  0.97745
80, 48,  0.82082,  0.32414,  1.22841,  0.00,  0.00,  1.00,  0.0208,  0.95261
81, 46,  0.88231, -2.50494E-7,  1.22841,  0.00,  0.00,  1.00,  0.00368,  0.83603
82, 48,  0.82082,  0.32414,  1.22841,  0.00,  0.00,  1.00,  0.0208,  0.95261
83, 49,  0.82082,  0.06389,  1.22841,  0.00,  0.00,  1.00,  0.0208,  0.84876
84, 50,  7.26432E-8,  0.39272,  1.22841,  0.00,  0.00,  1.00,  0.25331,  0.98202
85, 51,  7.82311E-8,  0.32414,  1.22841,  0.00,  0.00,  1.00,  0.25331,  0.95732
86, 52,  0.82082,  0.32414,  1.22841,  0.00,  0.00,  1.00,  0.02459,  0.95732
87, 50,  7.26432E-8,  0.39272,  1.22841,  0.00,  0.00,  1.00,  0.25331,  0.98202
