VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.33304,  2.36978, -0.89072,  0.17225,  0.98505,  0.00,  0.77759,  0.36905
1, 1, -0.39192,  2.36978, -0.89072,  0.00,  1.00,  0.00,  0.77759,  0.31339
2, 2, -0.39192,  2.36979,  0.35259,  0.00,  1.00,  0.00,  0.69045,  0.31339
3, 0,  0.33304,  2.36978, -0.89072,  0.17225,  0.98505,  0.00,  0.77759,  0.36905
4, 2, -0.39192,  2.36979,  0.35259,  0.00,  1.00,  0.00,  0.69045,  0.31339
5, 3,  0.33304,  2.36979,  0.35259,  0.17225,  0.98505,  0.00,  0.69045,  0.36905
6, 4, -0.20531,  0.06849, -0.81561,  1.00,  0.00,  0.00,  0.84288,  0.36134
7, 5, -0.20531,  2.24263, -0.81561,  1.00,  0.00,  0.00,  0.84288,  0.51953
8, 6, -0.20531,  2.24263,  0.27748,  1.00,  0.00,  0.00,  0.93526,  0.51953
9, 4, -0.20531,  0.06849, -0.81561,  1.00,  0.00,  0.00,  0.84288,  0.36134
10, 6, -0.20531,  2.24263,  0.27748,  1.00,  0.00,  0.00,  0.93526,  0.51953
11, 7, -0.20531,  0.06849,  0.27748,  1.00,  0.00,  0.00,  0.93526,  0.36134
12, 8,  0.38113,  1.13931E-7,  0.3526,  0.00,  0.00,  1.00,  0.58478,  0.38285
13, 9,  0.38113,  2.31774,  0.35259,  0.00,  0.00,  1.00,  0.58478,  0.07065
14, 10, -0.39192,  1.03797E-7,  0.3526,  0.00,  0.00,  1.00,  0.67706,  0.38285
15, 10, -0.39192,  1.03797E-7,  0.3526,  0.00,  0.00,  1.00,  0.67706,  0.38285
16, 9,  0.38113,  2.31774,  0.35259,  0.00,  0.00,  1.00,  0.58478,  0.07065
17, 11,  0.36911,  2.35677,  0.35259,  0.00,  0.00,  1.00,  0.5864,  0.06539
18, 10, -0.39192,  1.03797E-7,  0.3526,  0.00,  0.00,  1.00,  0.67706,  0.38285
19, 11,  0.36911,  2.35677,  0.35259,  0.00,  0.00,  1.00,  0.5864,  0.06539
20, 12,  0.33304,  2.36979,  0.35259,  0.00,  0.00,  1.00,  0.59125,  0.06364
21, 10, -0.39192,  1.03797E-7,  0.3526,  0.00,  0.00,  1.00,  0.67706,  0.38285
22, 12,  0.33304,  2.36979,  0.35259,  0.00,  0.00,  1.00,  0.59125,  0.06364
23, 13, -0.39192,  2.36979,  0.35259,  0.00,  0.00,  1.00,  0.67706,  0.06364
24, 14, -0.39192,  1.03797E-7,  0.3526, -1.00,  0.00,  0.00,  0.69045,  0.0583
25, 15, -0.39192,  2.36979,  0.35259, -1.00,  0.00,  0.00,  0.69045,  0.31339
26, 16, -0.39192,  2.36978, -0.89072, -1.00,  0.00,  0.00,  0.77759,  0.31339
27, 14, -0.39192,  1.03797E-7,  0.3526, -1.00,  0.00,  0.00,  0.69045,  0.0583
28, 16, -0.39192,  2.36978, -0.89072, -1.00,  0.00,  0.00,  0.77759,  0.31339
29, 17, -0.39192, -1.99484E-7, -0.89072, -1.00,  0.00,  0.00,  0.77759,  0.0583
30, 18, -0.39192, -1.99484E-7, -0.89072,  0.00,  0.00, -1.00,  0.67706,  0.38285
31, 19, -0.39192,  2.36978, -0.89072,  0.00,  0.00, -1.00,  0.67706,  0.06364
32, 20,  0.33304,  2.36978, -0.89072,  0.00,  0.00, -1.00,  0.59125,  0.06364
33, 18, -0.39192, -1.99484E-7, -0.89072,  0.00,  0.00, -1.00,  0.67706,  0.38285
34, 20,  0.33304,  2.36978, -0.89072,  0.00,  0.00, -1.00,  0.59125,  0.06364
35, 21,  0.36911,  2.35677, -0.89072,  0.00,  0.00, -1.00,  0.5864,  0.06539
36, 18, -0.39192, -1.99484E-7, -0.89072,  0.00,  0.00, -1.00,  0.67706,  0.38285
37, 21,  0.36911,  2.35677, -0.89072,  0.00,  0.00, -1.00,  0.5864,  0.06539
38, 22,  0.38113,  2.31774, -0.89072,  0.00,  0.00, -1.00,  0.58478,  0.07065
39, 18, -0.39192, -1.99484E-7, -0.89072,  0.00,  0.00, -1.00,  0.67706,  0.38285
40, 22,  0.38113,  2.31774, -0.89072,  0.00,  0.00, -1.00,  0.58478,  0.07065
41, 23,  0.38113, -2.61540E-7, -0.89072,  0.00,  0.00, -1.00,  0.58478,  0.38285
42, 24,  0.36911,  2.35677,  0.35259,  0.72369,  0.69013,  0.00,  0.99578,  0.96952
43, 25,  0.36911,  2.35677, -0.89072,  0.72369,  0.69013,  0.00,  0.53272,  0.96951
44, 26,  0.33304,  2.36978, -0.89072,  0.17225,  0.98505,  0.00,  0.53272,  0.98611
45, 24,  0.36911,  2.35677,  0.35259,  0.72369,  0.69013,  0.00,  0.99578,  0.96952
46, 26,  0.33304,  2.36978, -0.89072,  0.17225,  0.98505,  0.00,  0.53272,  0.98611
