VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  2.00804,  3.89894,  0.30045,  0.00, -1.00,  0.00,  0.00745,  0.34608
1, 1,  2.00804,  3.89894,  0.19762,  0.00, -1.00,  0.00,  0.00745,  0.42521
2, 2,  3.249,  3.89894,  0.19762,  0.00, -1.00,  0.00,  0.99366,  0.42521
3, 0,  2.00804,  3.89894,  0.30045,  0.00, -1.00,  0.00,  0.00745,  0.34608
4, 2,  3.249,  3.89894,  0.19762,  0.00, -1.00,  0.00,  0.99366,  0.42521
5, 3,  3.249,  3.89894,  0.30045,  0.00, -1.00,  0.00,  0.99366,  0.34608
6, 4,  4.48828,  3.89894,  0.30045,  0.00, -1.00,  0.00,  0.99366,  0.34608
7, 5,  4.48828,  3.89894,  0.19762,  0.00, -1.00,  0.00,  0.99366,  0.42521
8, 6,  5.71652,  3.89894,  0.19762,  0.00, -1.00,  0.00,  0.00745,  0.42521
9, 4,  4.48828,  3.89894,  0.30045,  0.00, -1.00,  0.00,  0.99366,  0.34608
10, 6,  5.71652,  3.89894,  0.19762,  0.00, -1.00,  0.00,  0.00745,  0.42521
11, 7,  5.71652,  3.89894,  0.30045,  0.00, -1.00,  0.00,  0.00745,  0.34608
12, 8,  0.7408,  4.03436,  0.30045,  0.00, -1.00, -0.00166,  0.44482,  0.93835
13, 9,  0.7408,  4.03453,  0.19762,  0.00, -1.00, -0.00166,  0.44482,  0.99384
14, 10,  1.9738,  4.03453,  0.19762,  0.00, -1.00, -0.00166,  0.00693,  0.99384
15, 8,  0.7408,  4.03436,  0.30045,  0.00, -1.00, -0.00166,  0.44482,  0.93835
16, 10,  1.9738,  4.03453,  0.19762,  0.00, -1.00, -0.00166,  0.00693,  0.99384
17, 11,  1.9738,  4.03436,  0.30045,  0.00, -1.00, -0.00166,  0.00693,  0.93835
18, 12,  3.28796,  4.03436,  0.30045, -0.0001, -1.00, -0.0007,  0.44482,  0.93835
19, 13,  3.28796,  4.03453,  0.19762, -0.0001, -1.00, -0.0007,  0.44482,  0.99384
20, 14,  4.44959,  4.03433,  0.19833, -0.0001, -1.00, -0.0007,  0.00693,  0.99384
21, 12,  3.28796,  4.03436,  0.30045, -0.0001, -1.00, -0.0007,  0.44482,  0.93835
22, 14,  4.44959,  4.03433,  0.19833, -0.0001, -1.00, -0.0007,  0.00693,  0.99384
23, 15,  4.44959,  4.03436,  0.30045, -0.0001, -1.00, -0.0007,  0.00693,  0.93835
24, 16,  0.718,  4.01759,  0.30045,  1.00,  0.00,  0.00,  0.33405,  0.92185
25, 17,  0.718,  3.9187,  0.30045,  1.00,  0.00,  0.00,  0.40786,  0.92185
26, 18,  0.718,  3.9187,  0.19762,  1.00,  0.00,  0.00,  0.40786,  0.82896
27, 16,  0.718,  4.01759,  0.30045,  1.00,  0.00,  0.00,  0.33405,  0.92185
28, 18,  0.718,  3.9187,  0.19762,  1.00,  0.00,  0.00,  0.40786,  0.82896
29, 19,  0.718,  4.01759,  0.19762,  1.00,  0.00,  0.00,  0.33405,  0.82896
30, 20,  3.26848,  4.01758,  0.30045,  1.00,  0.00,  0.00,  0.33405,  0.92185
31, 21,  3.26848,  3.91894,  0.30045,  1.00,  0.00,  0.00,  0.40786,  0.92185
32, 22,  3.26848,  3.91894,  0.19762,  1.00,  0.00,  0.00,  0.40786,  0.82896
33, 20,  3.26848,  4.01758,  0.30045,  1.00,  0.00,  0.00,  0.33405,  0.92185
34, 22,  3.26848,  3.91894,  0.19762,  1.00,  0.00,  0.00,  0.40786,  0.82896
35, 23,  3.26848,  4.01758,  0.19762,  1.00,  0.00,  0.00,  0.33405,  0.82896
