VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -5.70, -2.49155E-7,  5.70,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00, -1.00,  0.00399,  0.99868
1, 1,  9.28648E-7, -2.49155E-7,  5.70,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00, -1.00,  0.99832,  0.99868
2, 2, -7.76866E-14,  2.08432E-14, -4.76837E-7,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00, -1.00,  0.99832,  0.00281
3, 0, -5.70, -2.49155E-7,  5.70,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00, -1.00,  0.00399,  0.99868
4, 2, -7.76866E-14,  2.08432E-14, -4.76837E-7,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00, -1.00,  0.99832,  0.00281
5, 3, -5.70, -4.05925E-14,  9.28648E-7,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00, -1.00,  0.00399,  0.00281
6, 4, -9.28648E-7,  2.49155E-7, -5.70,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.99832,  0.99868
7, 5, -7.76866E-14,  2.08432E-14, -4.76837E-7,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.99832,  0.00281
8, 6,  5.70,  6.14357E-14, -1.40549E-6,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.00399,  0.00281
9, 4, -9.28648E-7,  2.49155E-7, -5.70,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.99832,  0.99868
10, 6,  5.70,  6.14357E-14, -1.40549E-6,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.00399,  0.00281
11, 7,  5.70,  2.49155E-7, -5.70,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.00399,  0.99868
12, 8, -5.70, -4.05925E-14,  9.28648E-7,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.00399,  0.00281
13, 9, -7.76866E-14,  2.08432E-14, -4.76837E-7,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.99832,  0.00281
14, 10, -9.28648E-7,  2.49155E-7, -5.70,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.99832,  0.99868
15, 8, -5.70, -4.05925E-14,  9.28648E-7,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.00399,  0.00281
16, 10, -9.28648E-7,  2.49155E-7, -5.70,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.99832,  0.99868
17, 11, -5.70,  2.49155E-7, -5.70,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.00399,  0.99868
18, 12,  5.70,  6.14357E-14, -1.40549E-6,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.00399,  0.00281
19, 13, -7.76866E-14,  2.08432E-14, -4.76837E-7,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.99832,  0.00281
20, 14,  9.28648E-7, -2.49155E-7,  5.70,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.99832,  0.99868
21, 12,  5.70,  6.14357E-14, -1.40549E-6,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.00399,  0.00281
22, 14,  9.28648E-7, -2.49155E-7,  5.70,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.99832,  0.99868
23, 15,  5.70, -2.49155E-7,  5.70,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.00399,  0.99868
24, 16,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00, -0.99999,  0.00, -0.005, -1.00,  0.81122,  0.3275
25, 17,  1.29755,  0.01, -3.57649,  0.00,  1.00,  0.00, -1.00,  0.00, -0.00001, -1.00,  0.81122,  0.48307
26, 18, -1.78517,  0.01, -3.57676,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.88353,  0.48308
27, 16,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00, -0.99999,  0.00, -0.005, -1.00,  0.81122,  0.3275
28, 18, -1.78517,  0.01, -3.57676,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.88353,  0.48308
29, 19, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00, -0.99999,  0.00, -0.00476, -1.00,  0.88353,  0.391
30, 16,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00, -0.99999,  0.00, -0.005, -1.00,  0.81122,  0.3275
31, 19, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00, -0.99999,  0.00, -0.00476, -1.00,  0.88353,  0.391
32, 20, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00, -0.9999,  0.00, -0.0142, -1.00,  0.88353,  0.32754
33, 21,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.81122,  0.25375
34, 16,  1.29755,  0.01,  0.73611,  0.00,  1.00,  0.00, -0.99999,  0.00, -0.005, -1.00,  0.81122,  0.3275
35, 20, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00, -0.9999,  0.00, -0.0142, -1.00,  0.88353,  0.32754
36, 21,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00, -1.00,  0.81122,  0.25375
37, 20, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00, -0.9999,  0.00, -0.0142, -1.00,  0.88353,  0.32754
38, 22, -1.78516,  0.01,  2.78066,  0.00,  1.00,  0.00, -0.99996,  0.00, -0.0089, -1.00,  0.88353,  0.25375
39, 23,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.80249,  0.01356
40, 24, -1.78516,  0.01,  2.78066,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.80249,  0.51158
41, 25, -1.78516,  0.01,  3.92885,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.99097,  0.51158
42, 23,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.80249,  0.01356
43, 25, -1.78516,  0.01,  3.92885,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.99097,  0.51158
44, 26,  1.29755,  0.01,  3.92885,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.99097,  0.01356
45, 27, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.98494,  0.50191
46, 28, -2.12284,  0.01, -1.02413,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.93336,  0.50191
47, 29, -2.12284,  0.01,  0.69127,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.93336,  0.24617
48, 27, -1.78517,  0.01, -1.02413,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.98494,  0.50191
49, 29, -2.12284,  0.01,  0.69127,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.93336,  0.24617
50, 30, -1.78517,  0.01,  0.69127,  0.00,  1.00,  0.00,  1.00,  0.00,  0.00,  1.00,  0.98494,  0.24617
51, 31,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.98494,  0.50191
52, 32,  2.05179,  0.01,  2.78064,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.89251,  0.50191
53, 33,  2.05179,  0.01,  0.73611,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.89251,  0.24617
54, 31,  1.29755,  0.01,  2.78064,  0.00,  1.00,  0.00, -1.00,  0.00,  0.00,  1.00,  0.98494,  0.50191
