VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 1820,  52.25746,  0.29355,  18.3252,  1.00,  1.00,  1.00,  0.92748,  0.58686
1, 1821,  58.79338,  0.29355,  5.57472,  1.00,  1.00,  1.00,  0.9938,  0.71701
2, 1822,  52.25746,  0.29355,  7.74628,  1.00,  1.00,  1.00,  0.92748,  0.695
3, 1821,  58.79338,  0.29355,  5.57472,  1.00,  1.00,  1.00,  0.9938,  0.71701
4, 1820,  52.25746,  0.29355,  18.3252,  1.00,  1.00,  1.00,  0.92748,  0.58686
5, 1823,  58.79338,  0.29355,  18.3252,  1.00,  1.00,  1.00,  0.9938,  0.58686
6, 1824,  33.77597,  0.30548,  18.62945,  1.00,  1.00,  1.00,  0.65505,  0.99344
7, 1825,  39.711,  0.30548,  1.31259,  1.00,  1.00,  1.00,  0.4487,  0.91586
8, 1826,  33.77597,  0.30548,  4.01215,  1.00,  1.00,  1.00,  0.47299,  0.99342
9, 1825,  39.711,  0.30548,  1.31259,  1.00,  1.00,  1.00,  0.4487,  0.91586
10, 1824,  33.77597,  0.30548,  18.62945,  1.00,  1.00,  1.00,  0.65505,  0.99344
11, 1827,  39.711,  0.30548,  15.92989,  1.00,  1.00,  1.00,  0.6298,  0.91588
12, 1828,  39.711,  0.30548, -15.01771,  1.00,  1.00,  1.00,  0.23906,  0.98931
13, 1829,  33.77597,  0.30548,  3.02972,  1.00,  1.00,  1.00,  0.00952,  0.91589
14, 1830,  39.711,  0.30548,  0.33015,  1.00,  1.00,  1.00,  0.04328,  0.98931
15, 1829,  33.77597,  0.30548,  3.02972,  1.00,  1.00,  1.00,  0.00952,  0.91589
16, 1828,  39.711,  0.30548, -15.01771,  1.00,  1.00,  1.00,  0.23906,  0.98931
17, 1831,  33.77597,  0.30548, -18.01122,  1.00,  1.00,  1.00,  0.27482,  0.91589
