VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -0.09149,  1.1648,  0.16824, -0.50,  0.00,  0.86602,  0.2867,  0.0776
1, 1,  0.00377,  1.1648,  0.19376, -2.38651E-6,  0.00,  1.00,  0.4242,  0.0776
2, 2,  0.00377,  1.19999,  0.19376, -2.38651E-6,  0.00,  1.00,  0.4242,  0.1431
3, 0, -0.09149,  1.1648,  0.16824, -0.50,  0.00,  0.86602,  0.2867,  0.0776
4, 2,  0.00377,  1.19999,  0.19376, -2.38651E-6,  0.00,  1.00,  0.4242,  0.1431
5, 3, -0.09149,  1.19999,  0.16824, -0.50,  0.00,  0.86602,  0.2867,  0.1431
6, 4, -0.16122,  1.1648,  0.0985, -0.86602,  0.00,  0.50,  0.1493,  0.0776
7, 0, -0.09149,  1.1648,  0.16824, -0.50,  0.00,  0.86602,  0.2867,  0.0776
8, 3, -0.09149,  1.19999,  0.16824, -0.50,  0.00,  0.86602,  0.2867,  0.1431
9, 4, -0.16122,  1.1648,  0.0985, -0.86602,  0.00,  0.50,  0.1493,  0.0776
10, 3, -0.09149,  1.19999,  0.16824, -0.50,  0.00,  0.86602,  0.2867,  0.1431
11, 5, -0.16122,  1.19999,  0.0985, -0.86602,  0.00,  0.50,  0.1493,  0.1431
12, 6, -0.18675,  1.1648,  0.00324, -1.00,  0.00, -1.19816E-6,  0.0118,  0.0776
13, 4, -0.16122,  1.1648,  0.0985, -0.86602,  0.00,  0.50,  0.1493,  0.0776
14, 5, -0.16122,  1.19999,  0.0985, -0.86602,  0.00,  0.50,  0.1493,  0.1431
15, 6, -0.18675,  1.1648,  0.00324, -1.00,  0.00, -1.19816E-6,  0.0118,  0.0776
16, 5, -0.16122,  1.19999,  0.0985, -0.86602,  0.00,  0.50,  0.1493,  0.1431
17, 7, -0.18675,  1.19999,  0.00324, -1.00,  0.00, -1.19816E-6,  0.0118,  0.1431
18, 8, -0.16122,  1.1648, -0.09202, -0.86602,  0.00, -0.50,  0.1493,  0.0776
19, 9, -0.18675,  1.1648,  0.00324, -1.00,  0.00, -1.19816E-6,  0.0118,  0.0776
20, 10, -0.18675,  1.19999,  0.00324, -1.00,  0.00, -1.19816E-6,  0.0118,  0.1431
21, 8, -0.16122,  1.1648, -0.09202, -0.86602,  0.00, -0.50,  0.1493,  0.0776
22, 10, -0.18675,  1.19999,  0.00324, -1.00,  0.00, -1.19816E-6,  0.0118,  0.1431
23, 11, -0.16122,  1.19999, -0.09202, -0.86602,  0.00, -0.50,  0.1493,  0.1431
24, 12, -0.09149,  1.1648, -0.16176, -0.50,  0.00, -0.86603,  0.2867,  0.0776
25, 8, -0.16122,  1.1648, -0.09202, -0.86602,  0.00, -0.50,  0.1493,  0.0776
26, 11, -0.16122,  1.19999, -0.09202, -0.86602,  0.00, -0.50,  0.1493,  0.1431
27, 12, -0.09149,  1.1648, -0.16176, -0.50,  0.00, -0.86603,  0.2867,  0.0776
28, 11, -0.16122,  1.19999, -0.09202, -0.86602,  0.00, -0.50,  0.1493,  0.1431
29, 13, -0.09149,  1.19999, -0.16176, -0.50,  0.00, -0.86603,  0.2867,  0.1431
30, 14,  0.00377,  1.1648, -0.18729, -2.38651E-6,  0.00, -1.00,  0.4242,  0.0776
31, 12, -0.09149,  1.1648, -0.16176, -0.50,  0.00, -0.86603,  0.2867,  0.0776
32, 13, -0.09149,  1.19999, -0.16176, -0.50,  0.00, -0.86603,  0.2867,  0.1431
33, 14,  0.00377,  1.1648, -0.18729, -2.38651E-6,  0.00, -1.00,  0.4242,  0.0776
34, 13, -0.09149,  1.19999, -0.16176, -0.50,  0.00, -0.86603,  0.2867,  0.1431
