VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -0.94663,  0.19897,  0.67505, -0.45143, -0.84312,  0.29215,  0.8742,  0.29653
1, 1, -0.94664,  0.19893,  0.3581, -0.45312, -0.89145, -3.97740E-6,  0.8742,  0.33829
2, 2, -0.76889,  0.19891,  0.3581,  0.70257, -0.71161, -3.10209E-6,  0.84776,  0.33829
3, 0, -0.94663,  0.19897,  0.67505, -0.45143, -0.84312,  0.29215,  0.8742,  0.29653
4, 2, -0.76889,  0.19891,  0.3581,  0.70257, -0.71161, -3.10209E-6,  0.84776,  0.33829
5, 3, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.84776,  0.29654
6, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
7, 5, -0.89948,  0.51773,  0.67091,  0.48508,  0.83286,  0.26656,  0.37801,  0.48229
8, 6, -0.89949,  0.51769,  0.3581,  0.49336,  0.86982,  0.00,  0.37801,  0.16724
9, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
10, 6, -0.89949,  0.51769,  0.3581,  0.49336,  0.86982,  0.00,  0.37801,  0.16724
11, 7, -0.95648,  0.5284,  0.3581, -0.06624,  0.9978, -1.06087E-7,  0.32621,  0.16724
12, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
13, 8, -0.91328,  0.50848,  0.69343,  0.23772,  0.52193,  0.81919,  0.37801,  0.50214
14, 5, -0.89948,  0.51773,  0.67091,  0.48508,  0.83286,  0.26656,  0.37801,  0.48229
15, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
16, 9, -0.9554,  0.51726,  0.69007, -0.0123,  0.60627,  0.79516,  0.32621,  0.50214
17, 8, -0.91328,  0.50848,  0.69343,  0.23772,  0.52193,  0.81919,  0.37801,  0.50214
18, 10, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.45161,  0.50214
19, 5, -0.89948,  0.51773,  0.67091,  0.48508,  0.83286,  0.26656,  0.37801,  0.48229
20, 8, -0.91328,  0.50848,  0.69343,  0.23772,  0.52193,  0.81919,  0.37801,  0.50214
21, 10, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.45161,  0.50214
22, 11, -0.83873,  0.44923,  0.67548,  0.76464,  0.58024,  0.28045,  0.45161,  0.48229
23, 5, -0.89948,  0.51773,  0.67091,  0.48508,  0.83286,  0.26656,  0.37801,  0.48229
24, 11, -0.83873,  0.44923,  0.67548,  0.76464,  0.58024,  0.28045,  0.45161,  0.48229
25, 10, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.45161,  0.50214
26, 12, -0.80345,  0.36495,  0.70215,  0.47055,  0.21372,  0.8561,  0.56652,  0.50214
27, 11, -0.83873,  0.44923,  0.67548,  0.76464,  0.58024,  0.28045,  0.45161,  0.48229
28, 12, -0.80345,  0.36495,  0.70215,  0.47055,  0.21372,  0.8561,  0.56652,  0.50214
29, 13, -0.79189,  0.37098,  0.6795,  0.87474,  0.40312,  0.26894,  0.56652,  0.48229
30, 14, -1.00973,  0.5109,  0.67624, -0.5349,  0.79759,  0.2788,  0.2919,  0.48229
31, 9, -0.9554,  0.51726,  0.69007, -0.0123,  0.60627,  0.79516,  0.32621,  0.50214
32, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
33, 14, -1.00973,  0.5109,  0.67624, -0.5349,  0.79759,  0.2788,  0.2919,  0.48229
34, 15, -1.0004,  0.50159,  0.69523, -0.22332,  0.48373,  0.84625,  0.2919,  0.50214
35, 9, -0.9554,  0.51726,  0.69007, -0.0123,  0.60627,  0.79516,  0.32621,  0.50214
36, 16, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.62575,  0.50214
37, 13, -0.79189,  0.37098,  0.6795,  0.87474,  0.40312,  0.26894,  0.56652,  0.48229
38, 12, -0.80345,  0.36495,  0.70215,  0.47055,  0.21372,  0.8561,  0.56652,  0.50214
39, 16, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.62575,  0.50214
40, 17, -0.76771,  0.29218,  0.68403,  0.95075,  0.14001,  0.27652,  0.62575,  0.48229
41, 13, -0.79189,  0.37098,  0.6795,  0.87474,  0.40312,  0.26894,  0.56652,  0.48229
42, 18, -0.83872,  0.4493,  0.3581,  0.80646,  0.59128,  1.49954E-7,  0.45161,  0.16723
43, 11, -0.83873,  0.44923,  0.67548,  0.76464,  0.58024,  0.28045,  0.45161,  0.48229
44, 13, -0.79189,  0.37098,  0.6795,  0.87474,  0.40312,  0.26894,  0.56652,  0.48229
45, 18, -0.83872,  0.4493,  0.3581,  0.80646,  0.59128,  1.49954E-7,  0.45161,  0.16723
46, 13, -0.79189,  0.37098,  0.6795,  0.87474,  0.40312,  0.26894,  0.56652,  0.48229
47, 19, -0.79189,  0.37103,  0.3581,  0.91371,  0.40636,  6.29113E-7,  0.56652,  0.16723
48, 19, -0.79189,  0.37103,  0.3581,  0.91371,  0.40636,  6.29113E-7,  0.56652,  0.16723
49, 13, -0.79189,  0.37098,  0.6795,  0.87474,  0.40312,  0.26894,  0.56652,  0.48229
50, 17, -0.76771,  0.29218,  0.68403,  0.95075,  0.14001,  0.27652,  0.62575,  0.48229
51, 20, -1.00974,  0.51084,  0.3581, -0.57319,  0.81942,  0.00,  0.2919,  0.16724
52, 14, -1.00973,  0.5109,  0.67624, -0.5349,  0.79759,  0.2788,  0.2919,  0.48229
53, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
54, 20, -1.00974,  0.51084,  0.3581, -0.57319,  0.81942,  0.00,  0.2919,  0.16724
55, 4, -0.95646,  0.5286,  0.67121, -0.05639,  0.96783,  0.24522,  0.32621,  0.48229
56, 7, -0.95648,  0.5284,  0.3581, -0.06624,  0.9978, -1.06087E-7,  0.32621,  0.16724
57, 19, -0.79189,  0.37103,  0.3581,  0.91371,  0.40636,  6.29113E-7,  0.56652,  0.16723
58, 17, -0.76771,  0.29218,  0.68403,  0.95075,  0.14001,  0.27652,  0.62575,  0.48229
59, 21, -0.76771,  0.2922,  0.3581,  0.98986,  0.14205,  4.72947E-7,  0.62575,  0.16723
60, 22, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.67083,  0.48229
61, 21, -0.76771,  0.2922,  0.3581,  0.98986,  0.14205,  4.72947E-7,  0.62575,  0.16723
62, 17, -0.76771,  0.29218,  0.68403,  0.95075,  0.14001,  0.27652,  0.62575,  0.48229
63, 16, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.62575,  0.50214
64, 22, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.67083,  0.48229
65, 17, -0.76771,  0.29218,  0.68403,  0.95075,  0.14001,  0.27652,  0.62575,  0.48229
66, 22, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.67083,  0.48229
67, 23, -0.76889,  0.19891,  0.3581,  0.70257, -0.71161, -3.10209E-6,  0.67085,  0.16724
68, 21, -0.76771,  0.2922,  0.3581,  0.98986,  0.14205,  4.72947E-7,  0.62575,  0.16723
69, 24, -0.78884,  0.21556,  0.69316,  0.23058, -0.47641,  0.84845,  0.65399,  0.50214
70, 22, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.67083,  0.48229
71, 16, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.62575,  0.50214
72, 25, -0.97503,  0.259,  0.70362, -0.36868, -0.28094,  0.88609,  0.78008,  0.29632
73, 26, -0.80345,  0.36495,  0.70215,  0.47055,  0.21372,  0.8561,  0.78008,  0.39136
74, 27, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.74041,  0.38975
75, 25, -0.97503,  0.259,  0.70362, -0.36868, -0.28094,  0.88609,  0.78008,  0.29632
76, 27, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.74041,  0.38975
77, 28, -1.01734,  0.33881,  0.7056, -0.43879, -0.16017,  0.8842,  0.74041,  0.29771
78, 27, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.74041,  0.38975
79, 29, -1.03961,  0.41077,  0.70359, -0.49065,  0.01715,  0.87119,  0.70428,  0.30547
80, 28, -1.01734,  0.33881,  0.7056, -0.43879, -0.16017,  0.8842,  0.74041,  0.29771
81, 27, -0.85088,  0.44089,  0.69814,  0.39499,  0.32743,  0.85835,  0.74041,  0.38975
82, 30, -0.91328,  0.50848,  0.69343,  0.23772,  0.52193,  0.81919,  0.70428,  0.38006
83, 29, -1.03961,  0.41077,  0.70359, -0.49065,  0.01715,  0.87119,  0.70428,  0.30547
84, 25, -0.97503,  0.259,  0.70362, -0.36868, -0.28094,  0.88609,  0.78008,  0.29632
85, 31, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.81981,  0.3818
86, 26, -0.80345,  0.36495,  0.70215,  0.47055,  0.21372,  0.8561,  0.78008,  0.39136
87, 25, -0.97503,  0.259,  0.70362, -0.36868, -0.28094,  0.88609,  0.78008,  0.29632
88, 32, -0.9315,  0.20585,  0.69317, -0.15022, -0.55027,  0.82136,  0.8055,  0.30168
89, 31, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.81981,  0.3818
90, 32, -0.9315,  0.20585,  0.69317, -0.15022, -0.55027,  0.82136,  0.8055,  0.30168
91, 33, -0.78884,  0.21556,  0.69316,  0.23058, -0.47641,  0.84845,  0.84161,  0.36233
92, 31, -0.78067,  0.28437,  0.7056,  0.50378, -0.01069,  0.86377,  0.81981,  0.3818
93, 30, -0.91328,  0.50848,  0.69343,  0.23772,  0.52193,  0.81919,  0.70428,  0.38006
94, 34, -1.02769,  0.46665,  0.69996, -0.40836,  0.28977,  0.86561,  0.68763,  0.32344
95, 29, -1.03961,  0.41077,  0.70359, -0.49065,  0.01715,  0.87119,  0.70428,  0.30547
96, 30, -0.91328,  0.50848,  0.69343,  0.23772,  0.52193,  0.81919,  0.70428,  0.38006
97, 35, -0.9554,  0.51726,  0.69007, -0.0123,  0.60627,  0.79516,  0.68994,  0.36488
98, 34, -1.02769,  0.46665,  0.69996, -0.40836,  0.28977,  0.86561,  0.68763,  0.32344
99, 36, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.85251,  0.35966
100, 33, -0.78884,  0.21556,  0.69316,  0.23058, -0.47641,  0.84845,  0.84161,  0.36233
101, 32, -0.9315,  0.20585,  0.69317, -0.15022, -0.55027,  0.82136,  0.8055,  0.30168
102, 36, -0.76888,  0.19894,  0.67505,  0.64276, -0.69132,  0.33005,  0.85251,  0.35966
103, 32, -0.9315,  0.20585,  0.69317, -0.15022, -0.55027,  0.82136,  0.8055,  0.30168
104, 37, -0.94663,  0.19897,  0.67505, -0.45143, -0.84312,  0.29215,  0.81549,  0.29735
105, 35, -0.9554,  0.51726,  0.69007, -0.0123,  0.60627,  0.79516,  0.68994,  0.36488
106, 38, -1.0004,  0.50159,  0.69523, -0.22332,  0.48373,  0.84625,  0.68296,  0.34279
107, 34, -1.02769,  0.46665,  0.69996, -0.40836,  0.28977,  0.86561,  0.68763,  0.32344
108, 39, -1.04995,  0.41034,  0.68748, -0.94799, -0.0516,  0.31408,  0.37801,  0.48229
109, 40, -1.0433,  0.46845,  0.68336, -0.86937,  0.38069,  0.31508,  0.32621,  0.48229
110, 41, -1.04329,  0.46853,  0.3581, -0.92418,  0.38196,  0.00,  0.32621,  0.16724
111, 39, -1.04995,  0.41034,  0.68748, -0.94799, -0.0516,  0.31408,  0.37801,  0.48229
112, 41, -1.04329,  0.46853,  0.3581, -0.92418,  0.38196,  0.00,  0.32621,  0.16724
113, 42, -1.04995,  0.4104,  0.3581, -0.99741, -0.07198,  0.00,  0.37801,  0.16723
114, 43, -1.0293,  0.33215,  0.68749, -0.88408, -0.36043,  0.29747,  0.45161,  0.48229
115, 39, -1.04995,  0.41034,  0.68748, -0.94799, -0.0516,  0.31408,  0.37801,  0.48229
116, 42, -1.04995,  0.4104,  0.3581, -0.99741, -0.07198,  0.00,  0.37801,  0.16723
117, 43, -1.0293,  0.33215,  0.68749, -0.88408, -0.36043,  0.29747,  0.45161,  0.48229
118, 42, -1.04995,  0.4104,  0.3581, -0.99741, -0.07198,  0.00,  0.37801,  0.16723
119, 44, -1.0293,  0.33216,  0.3581, -0.92839, -0.37161,  0.00,  0.45161,  0.16723
120, 45, -1.02769,  0.46665,  0.69996, -0.40836,  0.28977,  0.86561,  0.32621,  0.50214
121, 40, -1.0433,  0.46845,  0.68336, -0.86937,  0.38069,  0.31508,  0.32621,  0.48229
122, 39, -1.04995,  0.41034,  0.68748, -0.94799, -0.0516,  0.31408,  0.37801,  0.48229
123, 45, -1.02769,  0.46665,  0.69996, -0.40836,  0.28977,  0.86561,  0.32621,  0.50214
124, 39, -1.04995,  0.41034,  0.68748, -0.94799, -0.0516,  0.31408,  0.37801,  0.48229
125, 46, -1.03961,  0.41077,  0.70359, -0.49065,  0.01715,  0.87119,  0.37801,  0.50214
126, 46, -1.03961,  0.41077,  0.70359, -0.49065,  0.01715,  0.87119,  0.37801,  0.50214
127, 39, -1.04995,  0.41034,  0.68748, -0.94799, -0.0516,  0.31408,  0.37801,  0.48229
128, 43, -1.0293,  0.33215,  0.68749, -0.88408, -0.36043,  0.29747,  0.45161,  0.48229
129, 46, -1.03961,  0.41077,  0.70359, -0.49065,  0.01715,  0.87119,  0.37801,  0.50214
130, 43, -1.0293,  0.33215,  0.68749, -0.88408, -0.36043,  0.29747,  0.45161,  0.48229
131, 47, -1.01734,  0.33881,  0.7056, -0.43879, -0.16017,  0.8842,  0.45161,  0.50214
132, 40, -1.0433,  0.46845,  0.68336, -0.86937,  0.38069,  0.31508,  0.32621,  0.48229
133, 45, -1.02769,  0.46665,  0.69996, -0.40836,  0.28977,  0.86561,  0.32621,  0.50214
134, 48, -1.0004,  0.50159,  0.69523, -0.22332,  0.48373,  0.84625,  0.2919,  0.50214
135, 40, -1.0433,  0.46845,  0.68336, -0.86937,  0.38069,  0.31508,  0.32621,  0.48229
136, 48, -1.0004,  0.50159,  0.69523, -0.22332,  0.48373,  0.84625,  0.2919,  0.50214
