VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  0.12016,  0.16855,  0.20723,  0.03128, -0.93371,  0.35666,  0.86321,  0.34519
1, 1, -0.00026,  0.16855,  0.20723,  0.00, -0.93992,  0.34141,  0.89618,  0.34519
2, 2,  0.12015,  0.15226,  0.06742,  0.04349, -0.99827,  0.03962,  0.86321,  0.36776
3, 1, -0.00026,  0.16855,  0.20723,  0.00, -0.93992,  0.34141,  0.89618,  0.34519
4, 3, -0.00026,  0.15226,  0.06742,  0.00, -0.99866,  0.05183,  0.89618,  0.36776
5, 2,  0.12015,  0.15226,  0.06742,  0.04349, -0.99827,  0.03962,  0.86321,  0.36776
6, 0,  0.12016,  0.16855,  0.20723,  0.03128, -0.93371,  0.35666,  0.86321,  0.34519
7, 2,  0.12015,  0.15226,  0.06742,  0.04349, -0.99827,  0.03962,  0.86321,  0.36776
8, 4,  0.20822,  0.16855,  0.19285,  0.1957, -0.90926,  0.36736,  0.84017,  0.34519
9, 2,  0.12015,  0.15226,  0.06742,  0.04349, -0.99827,  0.03962,  0.86321,  0.36776
10, 3, -0.00026,  0.15226,  0.06742,  0.00, -0.99866,  0.05183,  0.89618,  0.36776
11, 5,  0.12015,  0.15226, -0.06737,  0.04577, -0.99826, -0.03714,  0.86321,  0.39033
12, 3, -0.00026,  0.15226,  0.06742,  0.00, -0.99866,  0.05183,  0.89618,  0.36776
13, 6, -0.00026,  0.15226, -0.06737,  0.00, -0.99888, -0.04735,  0.89618,  0.39033
14, 5,  0.12015,  0.15226, -0.06737,  0.04577, -0.99826, -0.03714,  0.86321,  0.39033
15, 2,  0.12015,  0.15226,  0.06742,  0.04349, -0.99827,  0.03962,  0.86321,  0.36776
16, 5,  0.12015,  0.15226, -0.06737,  0.04577, -0.99826, -0.03714,  0.86321,  0.39033
17, 7,  0.24468,  0.16855, -0.06737,  0.37538, -0.92633, -0.03176,  0.83023,  0.39033
18, 8,  0.25551,  0.16855,  0.06742,  0.37385, -0.92746,  0.0071,  0.83023,  0.36776
19, 2,  0.12015,  0.15226,  0.06742,  0.04349, -0.99827,  0.03962,  0.86321,  0.36776
20, 7,  0.24468,  0.16855, -0.06737,  0.37538, -0.92633, -0.03176,  0.83023,  0.39033
21, 9,  0.12016,  0.16855, -0.21896,  0.04177, -0.93525, -0.35152,  0.86321,  0.4129
22, 5,  0.12015,  0.15226, -0.06737,  0.04577, -0.99826, -0.03714,  0.86321,  0.39033
23, 6, -0.00026,  0.15226, -0.06737,  0.00, -0.99888, -0.04735,  0.89618,  0.39033
24, 6, -0.00026,  0.15226, -0.06737,  0.00, -0.99888, -0.04735,  0.89618,  0.39033
25, 10, -0.00026,  0.16855, -0.22197,  0.00, -0.94012, -0.34084,  0.89618,  0.4129
26, 9,  0.12016,  0.16855, -0.21896,  0.04177, -0.93525, -0.35152,  0.86321,  0.4129
27, 5,  0.12015,  0.15226, -0.06737,  0.04577, -0.99826, -0.03714,  0.86321,  0.39033
28, 11,  0.23952,  0.16855, -0.17753,  0.41922, -0.89471, -0.15411,  0.83023,  0.40929
