VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -0.75,  0.00139, -0.43017,  0.00, -1.00,  0.00,  0.99409,  0.35892
1, 1, -0.73017,  0.00139, -0.45,  0.00, -1.00,  0.00,  0.98445,  0.35892
2, 2,  0.00,  0.00139, -0.45,  0.00, -1.00,  0.00,  0.6294,  0.35892
3, 2,  0.00,  0.00139, -0.45,  0.00, -1.00,  0.00,  0.6294,  0.35892
4, 3,  0.00,  0.00139,  0.45,  0.00, -1.00,  0.00,  0.6294,  0.00521
5, 0, -0.75,  0.00139, -0.43017,  0.00, -1.00,  0.00,  0.99409,  0.35892
6, 3,  0.00,  0.00139,  0.45,  0.00, -1.00,  0.00,  0.6294,  0.00521
7, 4, -0.75,  0.00139,  0.43017,  0.00, -1.00,  0.00,  0.99409,  0.00521
8, 0, -0.75,  0.00139, -0.43017,  0.00, -1.00,  0.00,  0.99409,  0.35892
9, 3,  0.00,  0.00139,  0.45,  0.00, -1.00,  0.00,  0.6294,  0.00521
10, 5, -0.73017,  0.00139,  0.45,  0.00, -1.00,  0.00,  0.98445,  0.00521
11, 4, -0.75,  0.00139,  0.43017,  0.00, -1.00,  0.00,  0.99409,  0.00521
12, 6,  0.00,  0.02824,  0.45,  0.00,  1.00,  0.00,  0.6294,  0.00521
13, 7,  0.00,  0.02824, -0.45,  0.00,  1.00,  0.00,  0.6294,  0.35892
14, 8, -0.73017,  0.02824, -0.45,  0.00,  1.00,  0.00,  0.98445,  0.35892
15, 6,  0.00,  0.02824,  0.45,  0.00,  1.00,  0.00,  0.6294,  0.00521
16, 8, -0.73017,  0.02824, -0.45,  0.00,  1.00,  0.00,  0.98445,  0.35892
17, 9, -0.73017,  0.02824,  0.45,  0.00,  1.00,  0.00,  0.98445,  0.00521
18, 9, -0.73017,  0.02824,  0.45,  0.00,  1.00,  0.00,  0.98445,  0.00521
19, 8, -0.73017,  0.02824, -0.45,  0.00,  1.00,  0.00,  0.98445,  0.35892
20, 10, -0.75,  0.02824, -0.43017,  0.00,  1.00,  0.00,  0.99409,  0.35892
21, 9, -0.73017,  0.02824,  0.45,  0.00,  1.00,  0.00,  0.98445,  0.00521
22, 10, -0.75,  0.02824, -0.43017,  0.00,  1.00,  0.00,  0.99409,  0.35892
23, 11, -0.75,  0.02824,  0.43017,  0.00,  1.00,  0.00,  0.99409,  0.00521
24, 12,  0.00,  0.00139,  0.45,  0.00,  0.00,  1.00,  0.01029,  0.00815
25, 13,  0.00,  0.02824,  0.45,  0.00,  0.00,  1.00,  0.01029,  0.03182
26, 14, -0.73017,  0.02824,  0.45,  0.00,  0.00,  1.00,  0.56789,  0.03182
27, 12,  0.00,  0.00139,  0.45,  0.00,  0.00,  1.00,  0.01029,  0.00815
28, 14, -0.73017,  0.02824,  0.45,  0.00,  0.00,  1.00,  0.56789,  0.03182
29, 15, -0.73017,  0.00139,  0.45,  0.00,  0.00,  1.00,  0.56789,  0.00815
30, 16, -0.75,  0.00139,  0.43017, -1.00,  0.00,  0.00,  0.02331,  0.03763
31, 17, -0.75,  0.02824,  0.43017, -1.00,  0.00,  0.00,  0.02331,  0.05986
32, 18, -0.75,  0.02824, -0.43017, -1.00,  0.00,  0.00,  0.54634,  0.05986
33, 16, -0.75,  0.00139,  0.43017, -1.00,  0.00,  0.00,  0.02331,  0.03763
34, 18, -0.75,  0.02824, -0.43017, -1.00,  0.00,  0.00,  0.54634,  0.05986
35, 19, -0.75,  0.00139, -0.43017, -1.00,  0.00,  0.00,  0.54634,  0.03763
36, 20, -0.73017,  0.00139, -0.45,  0.00,  0.00, -1.00,  0.56789,  0.00815
37, 21, -0.73017,  0.02824, -0.45,  0.00,  0.00, -1.00,  0.56789,  0.03182
38, 22,  0.00,  0.02824, -0.45,  0.00,  0.00, -1.00,  0.01029,  0.03182
39, 20, -0.73017,  0.00139, -0.45,  0.00,  0.00, -1.00,  0.56789,  0.00815
40, 22,  0.00,  0.02824, -0.45,  0.00,  0.00, -1.00,  0.01029,  0.03182
41, 23,  0.00,  0.00139, -0.45,  0.00,  0.00, -1.00,  0.01029,  0.00815
42, 24, -0.73017,  0.00139,  0.45, -0.70711,  0.00,  0.70711,  0.56789,  0.00815
43, 25, -0.73017,  0.02824,  0.45, -0.70711,  0.00,  0.70711,  0.56789,  0.03182
44, 26, -0.75,  0.02824,  0.43017, -0.70711,  0.00,  0.70711,  0.5908,  0.03182
45, 24, -0.73017,  0.00139,  0.45, -0.70711,  0.00,  0.70711,  0.56789,  0.00815
46, 26, -0.75,  0.02824,  0.43017, -0.70711,  0.00,  0.70711,  0.5908,  0.03182
47, 27, -0.75,  0.00139,  0.43017, -0.70711,  0.00,  0.70711,  0.5908,  0.00815
48, 28, -0.75,  0.00139, -0.43017, -0.70711,  0.00, -0.70711,  0.5908,  0.00815
49, 29, -0.75,  0.02824, -0.43017, -0.70711,  0.00, -0.70711,  0.5908,  0.03182
50, 30, -0.73017,  0.02824, -0.45, -0.70711,  0.00, -0.70711,  0.56789,  0.03182
51, 28, -0.75,  0.00139, -0.43017, -0.70711,  0.00, -0.70711,  0.5908,  0.00815
52, 30, -0.73017,  0.02824, -0.45, -0.70711,  0.00, -0.70711,  0.56789,  0.03182
